"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
206.6,0.13,206.6,2.39,1453708.8948847253," E. Palik, 'Handbook of Optical Constants of Solids Vol I', <i>Academic Press</i>, pp.397-400, (1985)",-
215.6,0.141,215.6,2.51,1462968.0075158407,,
225.4,0.155,225.4,2.64,1471837.551992379,,
236.2,0.172,236.2,2.79,1484342.6762939075,,
248,0.19,248,2.94,1489722.9679925793,,
261,0.209,261,3.11,1497372.1306765145,,
275.5,0.233,275.5,3.3,1505227.6960938391,,
291.7,0.261,291.7,3.51,1512100.1322043436,,
300,0.276,300,3.61,1512153.2639278872,,
310,0.294,310,3.74,1516071.8096033325,,
317.9,0.31,317.9,3.84,1517925.8621937472,,
326.3,0.326,326.3,3.95,1521212.5015850058,,
335.1,0.344,335.1,4.06,1522514.6133780433,,
344.4,0.364,344.4,4.17,1521537.9053971474,,
350,0.375,350,4.24,1522326.0401395115,,
354.2,0.385,354.2,4.3,1525561.6499645524,,
364.7,0.407,364.7,4.43,1526433.2827422852,,
375.7,0.432,375.7,4.56,1525223.5826850634,,
387.5,0.46,387.5,4.71,1527422.0798356568,,
400,0.49,400,4.86,1526814.0296446397,,
413.3,0.523,413.3,5.02,1526329.0705076952,,
427.5,0.558,427.5,5.2,1528540.987009771,,
442.8,0.598,442.8,5.38,1526808.3537771534,,
450,0.618,450,5.47,1527512.1613454374,,
459.2,0.644,459.2,5.58,1527011.0633302308,,
476.9,0.695,476.9,5.8,1528306.7637509585,,
495.9,0.755,495.9,6.03,1528034.1763376854,,
500,0.769,500,6.08,1528070.6667060754,,
506.1,0.789,506.1,6.15,1527033.7735291233,,
516.6,0.826,516.6,6.28,1527619.1919894621,,
527.6,0.867,527.6,6.42,1529114.8473120902,,
539.1,0.912,539.1,6.55,1526798.8782053902,,
550,0.958,550,6.69,1528527.6256375068,,
551,0.963,551,6.7,1528034.1763376854,,
563.6,1.02,563.6,6.85,1527317.9330794946,,
576.7,1.08,576.7,7,1525309.4208516423,,
590.4,1.15,590.4,7.15,1521841.9697267632,,
600,1.2,600,7.26,1520530.84433746,,
604.8,1.22,604.8,7.31,1518852.0038188752,,
619.9,1.3,619.9,7.48,1516316.3767608749,,
635.8,1.39,635.8,7.65,1511996.464294553,,
650,1.47,650,7.79,1506031.1859362763,,
652.6,1.49,652.6,7.82,1505807.8180246511,,
670.2,1.6,670.2,8.01,1501889.4154135624,,
688.8,1.74,688.8,8.21,1497820.88768712,,
700,1.83,700,8.31,1491807.7115046391,,
708.5,1.91,708.5,8.39,1488099.4982988492,,
729.3,2.14,729.3,8.57,1476673.4699720023,,
750,2.4,750,8.62,1444294.8626103476,,
751.4,2.41,751.4,8.62,1441603.8687220663,,
774.9,2.63,774.9,8.6,1394641.7251708466,,
799.9,2.8,799.9,8.45,1327488.8322457182,,
825,2.75,825,8.31,1265776.240064542,,
826.6,2.74,826.6,8.31,1263326.1529799749,,
850,2.61,850,8.22,1215241.9582356755,,
855.1,2.58,855.1,8.21,1206524.4152016,,
875,2.38,875,8.18,1174776.1328623774,,
885.6,2.24,885.6,8.21,1164971.8015344266,,
900,2.06,900,8.3,1158898.623324235,,
918.4,1.86,918.4,8.44,1154836.3238805686,,
925,1.77,925,8.49,1153389.0434152365,,
950,1.49,950,8.88,1174624.958479047,,
953.7,1.47,953.7,8.95,1179291.3599508712,,
991.9,1.37,991.9,9.49,1202287.0967866576,,
1000,1.35,1000,9.58,1203858.3048556088,,
1033,1.26,1033,10,1216492.7990667156,,
1078,1.21,1078,10.6,1235654.2533599928,,
1127,1.2,1127,11.2,1248831.8622965638,,
1181,1.21,1181,11.8,1255573.0165066745,,
1200,1.21,1200,12,1256637.0614359174,,
1240,1.21,1240,12.5,1266771.231286207,,
1305,1.23,1305,13.2,1271081.165590353,,
1378,1.26,1378,14,1276699.4818652282,,
1459,1.33,1459,14.9,1283337.3691155016,,
1500,1.38,1500,15.4,1290147.3830742086,,
1550,1.44,1550,16,1297173.740837076,,
1653,1.59,1653,17.1,1299969.3738992251,,
1771,1.77,1771,18.3,1298501.3113651772,,
1907,1.99,1907,19.8,1304741.1545060915,,
