"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
269.5652174,2.81,269.5652174,1.26,587376.4845038408,No reference information available.,Thermal evaporation.
275.5555556,2.78,275.5555556,1.16,529003.6660997969,,
281.8181818,2.74,281.8181818,1.08,481575.7513168339,,
288.372093,2.69,288.372093,1.02,444484.6896695499,,
295.2380952,2.64,295.2380952,0.99,421378.7824294154,,
302.4390244,2.6,302.4390244,0.99,411345.95420998795,,
310,2.56,310,0.99,401313.1260714703,,
317.9487179,2.54,317.9487179,1.02,403137.2767062935,,
326.3157895,2.54,326.3157895,1.05,404353.37699394807,,
335.1351351,2.58,335.1351351,1.08,404961.4272600303,,
344.4444444,2.64,344.4444444,1.06,386719.92153695266,,
354.2857143,2.64,354.2857143,1.03,365336.8230882108,,
364.7058824,2.63,364.7058824,1.02,351453.0103626965,,
375.7575758,2.63,375.7575758,1.06,354493.26132310875,,
387.5,2.67,387.5,1.11,359965.71308228857,,
400,2.74,400,1.15,361283.1551628262,,
413.3333333,2.86,413.3333333,1.18,358749.6127291852,,
427.5862069,3.03,427.5862069,1.12,329157.8367347536,,
442.8571429,3.14,442.8571429,0.96,272406.485549424,,
459.2592593,3.14,459.2592593,0.8,218898.0687468382,,
476.9230769,3.11,476.9230769,0.71,187076.7754453991,,
496,3.08,496,0.64,162146.7176046345,,
516.6666667,3.05,516.6666667,0.58,141067.6443069309,,
539.1304348,3.02,539.1304348,0.54,125866.38953653733,,
563.6363636,3,563.6363636,0.51,113705.38572758577,,
590.4761905,2.99,590.4761905,0.48,102152.43208680066,,
620,2.98,620,0.46,93234.36262266483,,
635.8974359,2.97,635.8974359,0.45,88927.34043593315,,
652.6315789,2.97,652.6315789,0.43,82796.16768287588,,
670.2702703,2.96,670.2702703,0.42,78742.49973325801,,
688.8888889,2.96,688.8888889,0.41,74790.17349393135,,
708.5714286,2.96,708.5714286,0.4,70939.18894916713,,
729.4117647,2.96,729.4117647,0.39,67189.54610796226,,
751.5151515,2.96,751.5151515,0.38,63541.24496259721,,
775,2.96,775,0.37,59994.28551371476,,
800,2.97,800,0.36,56548.667764616286,,
826.6666667,2.97,826.6666667,0.35,53204.39171187536,,
855.1724138,2.98,855.1724138,0.34,49961.4573615251,,
885.7142857,2.99,885.7142857,0.33,46819.864709093374,,
918.5185185,3,918.5185185,0.32,43779.61375413397,,
953.8461538,3.01,953.8461538,0.3,39523.26241804207,,
992,3.03,992,0.27,34202.82324472759,,
1033.333333,3.02,1033.333333,0.24,29186.409178249178,,
1078.26087,3.02,1078.26087,0.22,25639.44971089434,,
1127.272727,3.03,1127.272727,0.21,23409.932359832794,,
1180.952381,3.07,1180.952381,0.18,19153.581016275126,,
1240,3.05,1240,0.05,5067.084925144827,,
1305.263158,2.98,1305.263158,0.04,3850.984542799506,,
1377.777778,2.95,1377.777778,0.04,3648.301145515841,,
1458.823529,2.92,1458.823529,0.04,3445.6177500710364,,
1550,2.9,1550,0.04,3242.93435209269,,
1653.333333,2.89,1653.333333,0.03,2280.1882167748877,,
