"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
269.5652174,2.8,269.5652174,1.3,606023.3570277722,No reference information available.,Thermal evaporation.
275.5555556,2.78,275.5555556,1.22,556365.9246911657,,
281.8181818,2.74,281.8181818,1.16,517248.0291921549,,
288.372093,2.71,288.372093,1.12,488061.6200293097,,
295.2380952,2.68,295.2380952,1.1,468198.6471437949,,
302.4390244,2.66,302.4390244,1.09,452896.0505948352,,
310,2.65,310,1.09,441849.80547262897,,
317.9487179,2.66,317.9487179,1.1,434755.8866440421,,
326.3157895,2.69,326.3157895,1.09,419757.31516514614,,
335.1351351,2.7,335.1351351,1.06,397462.1415700297,,
344.4444444,2.7,344.4444444,1.03,375775.01809722756,,
354.2857143,2.68,354.2857143,1.04,368883.78253566916,,
364.7058824,2.69,364.7058824,1.06,365235.48135731206,,
375.7575758,2.73,375.7575758,1.1,367870.3655239808,,
387.5,2.8,387.5,1.13,366451.58178647386,,
400,2.91,400,1.13,354999.9698556466,,
413.3333333,3.04,413.3333333,1.06,322266.6012652003,,
427.5862069,3.12,427.5862069,0.94,276257.47011666815,,
442.8571429,3.14,442.8571429,0.8,227005.40462452002,,
459.2592593,3.12,459.2592593,0.7,191535.8101534834,,
476.9230769,3.09,476.9230769,0.62,163362.8179945739,,
496,3.05,496,0.57,144411.92036662757,,
516.6666667,3.03,516.6666667,0.52,126474.43972345529,,
539.1304348,3,539.1304348,0.49,114212.09420908015,,
563.6363636,2.98,563.6363636,0.46,102557.79889154795,,
590.4761905,2.97,590.4761905,0.43,91511.55374442559,,
620,2.96,620,0.41,83100.19277237516,,
635.8974359,2.96,635.8974359,0.4,79046.52483194057,,
652.6315789,2.96,652.6315789,0.39,75094.19859609673,,
670.2702703,2.95,670.2702703,0.38,71243.2140443763,,
688.8888889,2.96,688.8888889,0.37,67493.5712018405,,
708.5714286,2.96,708.5714286,0.35,62071.790330521246,,
729.4117647,2.96,729.4117647,0.34,58575.5017351466,,
751.5151515,2.97,751.5151515,0.33,55180.55483593969,,
775,2.97,775,0.31,50265.482457436694,,
800,2.98,800,0.29,45553.093477052,,
826.6666667,2.99,826.6666667,0.27,41043.38789201814,,
855.1724138,2.98,855.1724138,0.24,35266.91107872359,,
885.7142857,2.98,885.7142857,0.22,31213.243139395578,,
918.5185185,3,918.5185185,0.2,27362.258596333726,,
953.8461538,3.01,953.8461538,0.15,19761.631209021034,,
992,2.98,992,0.09,11400.941081575862,,
1033.333333,2.94,1033.333333,0.06,7296.602294562294,,
1078.26087,2.9,1078.26087,0.05,5827.147661566895,,
1127.272727,2.87,1127.272727,0.05,5573.793419007809,,
1180.952381,2.85,1180.952381,0.04,4256.351336950029,,
1240,2.84,1240,0.04,4053.667940115862,,
1305.263158,2.82,1305.263158,0.04,3850.984542799506,,
1377.777778,2.81,1377.777778,0.03,2736.2258591368804,,
1458.823529,2.8,1458.823529,0.03,2584.213312553277,,
1550,2.79,1550,0.03,2432.200764069517,,
1653.333333,2.78,1653.333333,0.03,2280.1882167748877,,
