"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.4484,300,0.4334,181542.1674754422," Hossam ElAnzeery,  Ounsi El Daif,  Marie Buffière,  Souhaib Oueslati,  Khaled Ben Messaoud,  Dries Agten,  Guy Brammertz,  Rafik Guindi,  Bas Kniknie,  Marc Meuris and  Jef Poortmans, 'Refractive index extraction and thickness optimization of Cu<sub>2</sub>ZnSnSe<sub>4</sub> thin film solar cells', <i>physica status solidi (a)</i> <b>212</b>(9), pp.1984-1990, (2015)","Deposited by chemical bath deposition at 70 &deg;C using an aqueous solution of ammonia, thiourea, and cadmium sulfate."
310,1.4383,310,0.4126,167254.33920918047,,
320,1.4386,320,0.3917,153820.23030139026,,
330,1.4446,330,0.3695,140705.27096987015,,
340,1.4508,340,0.3431,126809.46346431272,,
350,1.4538,350,0.3145,112917.81594902744,,
360,1.4526,360,0.2861,99867.73979911553,,
370,1.4473,370,0.2601,88338.18910256273,,
380,1.4381,380,0.2355,77878.4284126733,,
390,1.4281,390,0.2177,70146.12519861518,,
400,1.4175,400,0.2044,64214.15383937537,,
410,1.4076,410,0.1956,59950.78273582082,,
420,1.3996,420,0.1909,57117.14643526585,,
430,1.3955,430,0.1893,55321.25482088818,,
440,1.3966,440,0.1871,53435.63504424093,,
450,1.3982,450,0.1811,50572.6604057877,,
460,1.3955,460,0.1776,48517.117850221504,,
470,1.3993,470,0.1811,48420.63230341375,,
480,1.4123,480,0.1778,46547.93115068877,,
490,1.4227,490,0.165,42315.329619780896,,
500,1.4267,500,0.1481,37221.589759731876,,
510,1.4258,510,0.1346,33165.362444955776,,
520,1.4227,520,0.1235,29845.130209103037,,
530,1.4189,530,0.1145,27148.10255366274,,
540,1.415,540,0.1073,24969.843831865543,,
550,1.4112,550,0.1013,23144.969876992443,,
560,1.4072,560,0.0957,21475.029782038797,,
570,1.404,570,0.0915,20172.33177568183,,
580,1.4012,580,0.0878,19022.885171391987,,
590,1.3985,590,0.0846,18018.897524996373,,
600,1.3962,600,0.0818,17132.15193757634,,
610,1.3941,610,0.0793,16336.281798666923,,
620,1.392,620,0.0767,15545.81655034433,,
630,1.3903,630,0.0746,14880.178537003083,,
640,1.3888,640,0.0727,14274.611619748623,,
650,1.3874,650,0.071,13726.343286453864,,
660,1.3862,660,0.0693,13194.689145077133,,
670,1.3851,670,0.0678,12716.416830650029,,
680,1.384,680,0.0662,12233.73139221437,,
690,1.383,690,0.0648,11801.461098702526,,
700,1.3822,700,0.0636,11417.445301046335,,
710,1.3822,710,0.0636,11256.636212299205,,
720,1.3808,720,0.0612,10681.415022205296,,
730,1.3801,730,0.0601,10345.737998945018,,
740,1.3795,740,0.059,10019.133327664746,,
750,1.379,750,0.058,9717.993275104429,,
760,1.3785,760,0.0571,9441.31265894617,,
770,1.3781,770,0.0562,9171.818552298513,,
780,1.3777,780,0.0553,8909.234550949517,,
790,1.3773,790,0.0544,8653.298245837203,,
800,1.3769,800,0.0536,8419.468311620645,,
810,1.3766,810,0.0528,8191.411956026721,,
820,1.3764,820,0.052,7968.917950569231,,
830,1.3761,830,0.0513,7766.9254520075365,,
840,1.3759,840,0.0506,7569.742298649692,,
850,1.3756,850,0.0499,7377.198748900267,,
860,1.3756,860,0.0499,7291.417368099102,,
870,1.3756,870,0.0499,7207.607973063478,,
880,1.3756,880,0.0499,7125.70333700594,,
890,1.3756,890,0.0499,7045.639254567671,,
900,1.3756,900,0.05,6981.317007977319,,
