"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
229.60037,1.881485,229.60037,2.434325,1332342.371477881,No reference information available.,No reference information available.,Grown by Bridgman method.
230.02634,1.862273,230.02634,2.429003,1326967.6821093739,,,
230.4539,1.843483,230.4539,2.423274,1321381.8114660073,,,
230.88306,1.921141,230.88306,2.443622,1330000.550642459,,,
231.3138,1.901112,231.3138,2.439209,1325126.4861793988,,,
231.74617,1.962359,231.74617,2.45091,1328999.025202403,,,
232.18015,1.941563,232.18015,2.447533,1324687.1779897786,,,
232.61575,2.005007,232.61575,2.455929,1326742.2354914707,,,
233.05301,1.983515,233.05301,2.453719,1323061.3214347577,,,
233.4919,2.07125,233.4919,2.458647,1323226.6049435693,,,
233.93245,2.048903,233.93245,2.458424,1320614.8660109078,,,
234.37466,2.026813,234.37466,2.457508,1317632.047583667,,,
234.81856,2.116571,234.81856,2.456901,1314816.3641234178,,,
235.26413,2.093817,235.26413,2.458148,1312992.2862846018,,,
235.7114,2.16247,235.7114,2.452063,1307256.7736544518,,,
236.16037,2.139469,236.16037,2.45488,1306270.476023477,,,
236.61107,2.208592,236.61107,2.443966,1297985.868746248,,,
237.06348,2.185526,237.06348,2.44843,1297875.100935641,,,
237.51762,2.277316,237.51762,2.425481,1283251.876811771,,,
237.97351,2.254541,237.97351,2.432498,1284498.908583878,,,
238.43115,2.231614,238.43115,2.438659,1285280.5850260137,,,
238.89055,2.322194,238.89055,2.408884,1267146.3610008843,,,
239.35173,2.299887,239.35173,2.417608,1269285.0863555341,,,
239.8147,2.365795,239.8147,2.388929,1251806.798556988,,,
240.27945,2.344183,240.27945,2.399319,1254819.410318845,,,
240.74602,2.407674,240.74602,2.365757,1234868.9812406667,,,
241.21439,2.386977,241.21439,2.377733,1238710.2651708333,,,
241.6846,2.447404,241.6846,2.339592,1216468.9085853964,,,
242.15663,2.427832,242.15663,2.353032,1221072.1704975325,,,
242.63052,2.484603,242.63052,2.310727,1196776.5584727894,,,
243.10626,2.466341,243.10626,2.325476,1202058.4443525854,,,
243.58388,2.518944,243.58388,2.279524,1175995.0374518412,,,
244.06339,2.502148,244.06339,2.295394,1181855.7346915635,,,
244.54477,2.550169,244.54477,2.246392,1154348.727929513,,,
245.02806,2.534959,245.02806,2.263172,1160677.6022321885,,,
245.51326,2.578096,245.51326,2.211773,1132075.6863736415,,,
246.0004,2.564552,246.0004,2.22924,1138756.5234997193,,,
246.48946,2.602627,246.48946,2.176124,1109417.8504347303,,,
246.98047,2.590788,246.98047,2.194049,1116332.513257592,,,
247.47345,2.633029,247.47345,2.121713,1077377.4679790435,,,
247.9684,2.62374,247.9684,2.139902,1084444.6957922229,,,
248.46533,2.613608,248.46533,2.158057,1091457.8733746118,,,
248.96425,2.649139,248.96425,2.085439,1052616.9667989914,,,
249.46518,2.64149,249.46518,2.103542,1059622.3639255115,,,
249.96814,2.655997,249.96814,2.06745,1039346.1713423508,,,
250.47313,2.667433,250.47313,2.031986,1019458.2212946049,,,
250.98016,2.662086,250.98016,2.049619,1026227.4106539828,,,
251.48924,2.676013,251.48924,1.997466,998090.3376057585,,,
252.0004,2.672065,252.0004,2.014591,1004605.4348466296,,,
252.51364,2.681761,252.51364,1.964429,977600.3727796635,,,
253.02898,2.67909,253.02898,1.980918,983798.367469811,,,
253.54642,2.685375,253.54642,1.932538,957812.3301576274,,,
254.06598,2.683845,254.06598,1.948295,963647.200467489,,,
254.58768,2.686909,254.58768,1.902225,938932.4865169979,,,
255.11151,2.686385,255.11151,1.917176,944369.156411432,,,
255.63753,2.686634,255.63753,1.873605,921007.7571519495,,,
256.1657,2.686981,256.1657,1.887698,926022.2065633526,,,
256.69608,2.68481,256.69608,1.846752,904064.0614694635,,,
257.22864,2.6859,257.22864,1.859954,908641.8716694923,,,
257.7634,2.681686,257.7634,1.821702,888108.3381472828,,,
258.3004,2.683396,258.3004,1.834,892244.9871055067,,,
258.83966,2.677492,258.83966,1.798466,873134.7542847214,,,
259.38116,2.679709,259.38116,1.809857,876830.6002252533,,,
259.92496,2.675062,259.92496,1.787524,864199.0005908539,,,
260.471,2.669659,260.471,1.766972,852472.0608895215,,,
261.01935,2.672443,261.01935,1.777028,855522.4905775551,,,
261.57004,2.663682,261.57004,1.748158,839851.5869958542,,,
262.12305,2.666732,262.12305,1.757351,842486.9146576278,,,
262.67838,2.657297,262.67838,1.731027,828112.5696550404,,,
263.23608,2.660531,263.23608,1.739386,830348.5265936091,,,
263.79617,2.650646,263.79617,1.715512,817212.7588274132,,,
264.35864,2.653996,264.35864,1.723072,819067.6630514172,,,
264.9235,2.647262,264.9235,1.708339,810332.8322690792,,,
265.49078,2.640447,265.49078,1.695116,802342.5856946922,,,
266.06052,2.643858,266.06052,1.701544,803660.4799779827,,,
266.6327,2.633653,266.6327,1.683325,793349.2709039872,,,
267.20734,2.637042,267.20734,1.689046,794333.6444538127,,,
267.78445,2.62697,267.78445,1.672891,785040.666230841,,,
268.36407,2.630293,268.36407,1.677943,785710.755086166,,,
268.9462,2.623693,268.9462,1.66816,779439.0403749673,,,
269.53085,2.617312,269.53085,1.659623,773768.1121888132,,,
270.11807,2.620471,270.11807,1.66374,774001.2893596467,,,
270.70786,2.611208,270.70786,1.652259,766985.4486275527,,,
271.3002,2.614222,271.3002,1.655798,766950.0918360801,,,
271.89517,2.608275,271.89517,1.648996,762128.0980311572,,,
272.49274,2.602677,272.49274,1.643268,757815.2249750495,,,
273.09296,2.60543,273.09296,1.646001,757407.2432187857,,,
273.6958,2.597464,273.6958,1.638551,752318.4183509151,,,
274.30133,2.60002,274.30133,1.640787,751682.0112109024,,,
274.90952,2.595012,274.90952,1.636555,748084.5574493957,,,
275.52045,2.590436,275.52045,1.633251,744918.8389563365,,,
276.13406,2.592669,276.13406,1.63479,743963.8926341877,,,
276.75043,2.586314,276.75043,1.630827,740507.4850255345,,,
277.36957,2.588317,277.36957,1.631932,739355.1617588184,,,
277.9915,2.584431,277.9915,1.629931,736796.5215423157,,,
278.61618,2.581029,278.61618,1.628744,734609.1939066072,,,
279.24368,2.582669,279.24368,1.629238,733180.7304286103,,,
279.87402,2.579515,279.87402,1.628444,731172.9337624661,,,
280.50723,2.576869,280.50723,1.628413,729508.5146732391,,,
281.1433,2.578127,281.1433,1.628335,727823.1810728743,,,
281.78226,2.574744,281.78226,1.629117,726521.5346116172,,,
282.42413,2.57574,282.42413,1.628675,724673.6906064446,,,
283.06894,2.573882,283.06894,1.629738,723494.8388298798,,,
283.7167,2.572564,283.7167,1.631506,722626.0934076378,,,
284.36743,2.573154,284.36743,1.630535,720543.3867614211,,,
285.02115,2.572113,285.02115,1.632651,719823.6885194001,,,
285.6779,2.571636,285.6779,1.635457,719403.1734988254,,,
286.33765,2.571803,286.33765,1.633968,717092.127423803,,,
287.00046,2.571614,287.00046,1.637119,716815.7184768651,,,
287.66635,2.572018,287.66635,1.640962,716835.203564131,,,
288.33536,2.571741,288.33536,1.638953,714296.3949172177,,,
289.00745,2.57245,289.00745,1.643147,714458.8894117584,,,
289.6827,2.573792,289.6827,1.648056,714922.9998622051,,,
290.3611,2.57304,290.3611,1.64551,712150.7843038947,,,
291.04272,2.574712,291.04272,1.650786,712760.9541649255,,,
291.7275,2.577081,291.7275,1.656823,713688.351643037,,,
292.41556,2.575806,292.41556,1.653707,710669.9468920212,,,
293.10684,2.578545,293.10684,1.660141,711752.3111399534,,,
293.80142,2.580208,293.80142,1.663667,711577.7759303914,,,
294.49927,2.584179,294.49927,1.671377,713181.4900021922,,,
