"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
275.5556,1.961,275.5556,0.4561,207998.73554408687," Monica Morales-Masis,  Silvia Martin De Nicolas,  Jakub Holovsky,  Stefaan De Wolf and  Christophe Ballif, 'Low-Temperature High-Mobility Amorphous IZO for Silicon Heterojunction Solar Cells', <i>IEEE Journal of Photovoltaics</i> <b>5</b>(5), pp.1340-1347, (2015)","RF sputtered IZO target (90 wt% In<sub>2</sub>O<sub>3</sub>, 10% ZnO)."
276.7857,1.99447,276.7857,0.47576,216000.19377762362,,
278.0269,2.02782,278.0269,0.47126,213001.97267684902,,
279.2793,2.06082,279.2793,0.47338,213000.6957703398,,
280.543,2.09329,280.543,0.46882,209998.6765459793,,
281.8182,2.12501,281.8182,0.47095,209998.22725545947,,
283.105,2.1558,283.105,0.46635,207001.88749779764,,
284.4037,2.18548,284.4037,0.4617,204002.03347036729,,
285.7143,2.2139,285.7143,0.46382,203998.6804423885,,
287.037,2.2409,287.037,0.45912,201000.98859953883,,
288.3721,2.26638,288.3721,0.45666,198998.40535035325,,
289.7196,2.29024,289.7196,0.44958,195001.95709242995,,
291.0798,2.31242,291.0798,0.45169,195001.64363174274,,
292.4528,2.33287,292.4528,0.44451,191000.9889386867,,
293.8389,2.35156,293.8389,0.43726,186999.44816137996,,
295.2381,2.36851,295.2381,0.43699,185998.29408090675,,
296.6507,2.38374,296.6507,0.42964,181999.0807624346,,
298.0769,2.39729,298.0769,0.42459,178999.28841016398,,
299.5169,2.4092,299.5169,0.42426,178000.25296896513,,
300.9709,2.41956,300.9709,0.41674,174000.51931359616,,
302.439,2.42843,302.439,0.41155,170999.43546763205,,
303.9216,2.4359,303.9216,0.40631,167998.65637454775,,
305.4187,2.44207,305.4187,0.39859,163998.78799750714,,
306.9307,2.44701,306.9307,0.3908,160001.51291778777,,
308.4577,2.45082,308.4577,0.38783,157999.47660139197,,
310,2.45359,310,0.38237,155000.1010262102,,
311.5578,2.45542,311.5578,0.37189,149998.092417331,,
313.1313,2.45637,313.1313,0.3663,147001.00424453782,,
314.7208,2.45655,314.7208,0.36064,143998.61395759328,,
316.3265,2.45601,316.3265,0.35493,140999.31311965646,,
317.9487,2.45484,317.9487,0.3441,135999.55365129633,,
319.5876,2.4531,319.5876,0.33825,133001.87054525866,,
321.2435,2.45086,321.2435,0.33233,130000.51195650603,,
322.9167,2.44817,322.9167,0.32378,125999.6611360519,,
324.6073,2.44508,324.6073,0.31514,121998.67456490194,,
326.3158,2.44165,326.3158,0.30901,118999.26952795812,,
328.0423,2.43792,328.0423,0.29759,113998.29324227839,,
329.7872,2.43392,329.7872,0.2913,110998.35772773555,,
331.5508,2.4297,331.5508,0.28231,107000.5588326054,,
333.3333,2.42529,333.3333,0.27587,104000.55024155298,,
335.1351,2.42071,335.1351,0.26589,99699.26404760232,,
336.9565,2.416,336.9565,0.25554,95300.4422467987,,
338.7978,2.41118,338.7978,0.24858,92200.96492118317,,
340.6593,2.40626,340.6593,0.24046,88701.80493909332,,
342.5414,2.40128,342.5414,0.23224,85198.86680788876,,
344.4444,2.39623,344.4444,0.22531,82199.88372931207,,
346.3687,2.39115,346.3687,0.21692,78699.29106373618,,
348.3146,2.38604,348.3146,0.20955,75600.70586300328,,
350.2825,2.38091,350.2825,0.20237,72600.1561947247,,
352.2727,2.37578,352.2727,0.19511,69600.18674645008,,
354.2857,2.37064,354.2857,0.18664,66200.45379940528,,
356.3218,2.36553,356.3218,0.1775,62598.77403091118,,
358.3815,2.36042,358.3815,0.1714,60100.08673162989,,
360.4651,2.35534,360.4651,0.16465,57399.53525748366,,
362.5731,2.35029,362.5731,0.15725,54501.05865846032,,
364.7059,2.34528,364.7059,0.15034,51801.41473342653,,
366.8639,2.3403,366.8639,0.14509,49698.3953023825,,
369.0476,2.33536,369.0476,0.13832,47099.08378697384,,
371.2575,2.33046,371.2575,0.13058,44198.88284608448,,
373.494,2.3256,373.494,0.12632,42500.92199622619,,
375.7576,2.32079,375.7576,0.11452,38298.64686054021,,
378.0488,2.31603,378.0488,0.1089,36198.442103339934,,
380.3681,2.31132,380.3681,0.10261,33899.66952379536,,
382.7161,2.30665,382.7161,0.0969,31816.83008714303,,
385.0932,2.30204,385.0932,0.0916,29890.93414984477,,
387.5,2.29747,387.5,0.086,27889.235427997126,,
389.9371,2.29296,389.9371,0.0813,26200.275145591448,,
392.4051,2.28849,392.4051,0.0753,24114.05221953654,,
394.9045,2.28407,394.9045,0.0707,22497.65202562122,,
397.4359,2.2797,397.4359,0.0655,20710.189372437817,,
400,2.27537,400,0.0605,19006.63555421825,,
402.5974,2.2711,402.5974,0.0558,17416.989783869492,,
405.2288,2.26687,405.2288,0.0516,16001.447175051066,,
407.8947,2.26268,407.8947,0.0474,14602.93470644813,,
410.596,2.25854,410.596,0.0438,13405.075376012719,,
413.3333,2.25444,413.3333,0.0395,12008.992241060358,,
416.1074,2.25038,416.1074,0.0364,10992.736259020483,,
418.9189,2.24637,418.9189,0.0324,9719.074692147744,,
421.7687,2.24239,421.7687,0.0296,8819.160126985042,,
424.6575,2.23845,424.6575,0.0265,7841.821262559076,,
427.5862,2.23455,427.5862,0.0236,6935.8259574064,,
430.5556,2.23068,430.5556,0.0215,6275.077323549436,,
433.5664,2.22685,433.5664,0.0189,5477.924594972959,,
436.6197,2.22305,436.6197,0.0168,4835.215321737294,,
439.7163,2.21928,439.7163,0.0149,4258.175604451135,,
442.8571,2.21554,442.8571,0.013,3688.838182489775,,
446.0432,2.21183,446.0432,0.0116,3268.066840309781,,
449.2754,2.20814,449.2754,0.0102,2852.971256972084,,
452.5547,2.20448,452.5547,0.00904,2510.1935822080054,,
455.8824,2.20085,455.8824,0.00791,2180.386686557346,,
459.2593,2.19723,459.2593,0.0068,1860.6334194569904,,
462.6866,2.19364,462.6866,0.00596,1618.7105669708324,,
466.1654,2.19007,466.1654,0.0053,1428.7153069726673,,
469.697,2.18651,469.697,0.00475,1270.824817237625,,
473.2824,2.18297,473.2824,0.00422,1120.47445653157,,
476.9231,2.17944,476.9231,0.00379,998.6210487271694,,
480.6202,2.17593,480.6202,0.00343,896.8131428361097,,
484.375,2.17243,484.375,0.00311,806.8420668006612,,
488.189,2.16893,488.189,0.00292,751.6310730870376,,
492.0635,2.16545,492.0635,0.00261,666.5446086425318,,
496,2.16197,496,0.00256,648.5868704185381,,
500,2.15849,500,0.00248,623.291982472215,,
504.065,2.15502,504.065,0.00235,585.8564062917294,,
508.1967,2.15155,508.1967,0.00227,561.3114232067095,,
512.3967,2.14808,512.3967,0.00213,522.3759132052379,,
516.6667,2.1446,516.6667,0.00212,515.62652871651,,
521.0084,2.14112,521.0084,0.00205,494.44615018560745,,
525.4237,2.13763,525.4237,0.00202,483.1161715964759,,
529.9145,2.13413,529.9145,0.002,474.2791757673804,,
534.4828,2.13063,534.4828,0.00202,474.9276990953784,,
539.1304,2.12711,539.1304,0.00199,463.8409839729823,,
543.8597,2.12358,543.8597,0.00196,452.8757399039491,,
548.6726,2.12003,548.6726,0.00196,448.90316017501107,,
553.5714,2.11646,553.5714,0.00194,440.3905077440199,,
558.5586,2.11287,558.5586,0.00199,447.70732242910157,,
563.6364,2.10925,563.6364,0.00198,441.4444101983329,,
568.8073,2.10561,568.8073,0.00201,444.0590852976383,,
574.0741,2.10195,574.0741,0.00201,439.9850983498809,,
579.4393,2.09825,579.4393,0.00205,444.5859947614238,,
584.9057,2.09452,584.9057,0.00213,457.6185427597139,,
590.4762,2.09075,590.4762,0.00212,451.1732344579078,,
596.1539,2.08694,596.1539,0.00213,448.9842204938194,,
601.9418,2.0831,601.9418,0.00217,453.01762119127477,,
607.8431,2.07921,607.8431,0.00223,461.02368308566724,,
613.8614,2.07527,613.8614,0.00229,468.78641834919915,,
620,2.07128,620,0.0023,466.1718131133241,,
626.2626,2.06724,626.2626,0.00234,469.5363771938555,,
632.6531,2.06315,632.6531,0.0024,476.7113205398348,,
639.1753,2.05899,639.1753,0.00246,483.643089952374,,
645.8333,2.05477,645.8333,0.00249,484.49441720881134,,
652.6316,2.05048,652.6316,0.00253,487.1495289889228,,
659.5745,2.04612,659.5745,0.0026,495.3581983132132,,
666.6667,2.04169,666.6667,0.00267,503.28311794092895,,
673.913,2.03717,673.913,0.00278,518.3830896260868,,
681.3187,2.03258,681.3187,0.00281,518.2817002725637,,
688.8889,2.02789,688.8889,0.00301,549.0693136327369,,
696.6292,2.02311,696.6292,0.00305,550.1840918209498,,
704.5455,2.01823,704.5455,0.00316,563.6219540310028,,
712.6437,2.01325,712.6437,0.00319,562.5072144720533,,
720.9302,2.00816,720.9302,0.00341,594.3893569025792,,
729.4118,2.00296,729.4118,0.00356,613.3199296627593,,
738.0952,1.99764,738.0952,0.00368,626.5349491615955,,
746.988,1.99219,746.988,0.00389,654.4038416930015,,
756.0976,1.98661,756.0976,0.00403,669.7875191756654,,
765.4321,1.98088,765.4321,0.00412,676.3950313967732,,
775,1.97502,775,0.00431,698.8523528759746,,
784.8101,1.96899,784.8101,0.0046,736.5514896667639,,
794.8718,1.96281,794.8718,0.00495,782.5605907905893,,
805.1948,1.95645,805.1948,0.00513,800.6196916778717,,
815.7895,1.94992,815.7895,0.00541,833.3530282466631,,
826.6667,1.9432,826.6667,0.00572,869.5117380938954,,
837.8378,1.93628,837.8378,0.00591,886.4156084968084,,
849.3151,1.92915,849.3151,0.00626,926.2225532772044,,
861.1111,1.92181,861.1111,0.00706,1030.2802569537864,,
873.2394,1.91423,873.2394,0.0073,1050.5080907345907,,
885.7143,1.90642,885.7143,0.00768,1089.6259247285323,,
898.5507,1.89836,898.5507,0.00829,1159.3693310019964,,
911.7647,1.89003,911.7647,0.00871,1200.4532315307713,,
925.3731,1.88143,925.3731,0.00898,1219.4649716632716,,
939.3939,1.87254,939.3939,0.0101,1351.087581099128,,
953.8462,1.86334,953.8462,0.0106,1396.4885377978885,,
968.75,1.85383,968.75,0.0116,1504.7215393710078,,
984.127,1.84398,984.127,0.0122,1557.8245642603233,,
1000,1.83379,1000,0.0128,1608.4954386379743,,
1016.393,1.82324,1016.393,0.0139,1718.553271614351,,
1033.333,1.81231,1033.333,0.015,1824.1511614879964,,
1050.847,1.80098,1050.847,0.0165,1973.1237291149555,,
1068.966,1.78925,1068.966,0.0174,2045.4799188173395,,
1087.719,1.7771,1087.719,0.0192,2218.1677050386734,,
1107.143,1.76452,1107.143,0.0211,2394.906710000231,,
1127.273,1.75148,1127.273,0.0222,2474.763678707586,,
1148.148,1.738,1148.148,0.0244,2670.556783536302,,
1169.811,1.72405,1169.811,0.0274,2943.369098370945,,
1192.308,1.70963,1192.308,0.0282,2972.1485666868684,,
1215.686,1.69475,1215.686,0.0316,3266.446363730025,,
1240,1.67942,1240,0.0347,3516.5569380505103,,
1265.306,1.66365,1265.306,0.0375,3724.30778039833,,
1291.667,1.64746,1291.667,0.0413,4017.9946253410044,,
1319.149,1.63091,1319.149,0.0442,4210.544685662313,,
1347.826,1.61405,1347.826,0.049,4568.484063251484,,
1377.778,1.59694,1377.778,0.0526,4797.515233334343,,
1409.091,1.57971,1409.091,0.0588,5243.82450902262,,
1441.86,1.56246,1441.86,0.0615,5359.964162838897,,
1476.19,1.54537,1476.19,0.0686,5839.7159183102385,,
1512.195,1.52863,1512.195,0.0738,6132.794721181507,,
1550,1.51248,1550,0.0807,6542.620055347002,,
1589.744,1.49718,1589.744,0.0891,7043.043544994681,,
1631.579,1.48306,1631.579,0.0953,7339.9763023943615,,
1675.676,1.47046,1675.676,0.10361,7770.00839872239,,
1722.222,1.45974,1722.222,0.11636,8490.327522740004,,
