"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
100,1.740619957,100,0,0," H. H. Li, 'Refractive index of alkali halides and its wavelength and temperature derivatives', <i>Journal of Physical and Chemical Reference Data</i> <b>5</b>(2), pp.329-528, (1976)",-
104.8,1.683413998,104.8,0,0,,
109.9,1.638294297,109.9,0,0,,
115.1,1.603221774,115.1,0,0,,
120.7,1.57385381,120.7,0,0,,
126.5,1.549878603,126.5,0,0,,
132.6,1.529724886,132.6,0,0,,
139,1.512652182,139,0,0,,
145.7,1.49809106,145.7,0,0,,
152.7,1.485597096,152.7,0,0,,
160,1.474818917,160,0,0,,
167.7,1.465363357,167.7,0,0,,
175.8,1.457057889,175.8,0,0,,
184.2,1.449831056,184.2,0,0,,
193.1,1.443382411,193.1,0,0,,
202.4,1.437692388,202.4,0,0,,
212.1,1.432662934,212.1,0,0,,
222.3,1.428168677,222.3,0,0,,
233.1,1.424119666,233.1,0,0,,
244.3,1.420539003,244.3,0,0,,
256,1.417339537,256,0,0,,
268.3,1.414457409,268.3,0,0,,
281.3,1.411845231,281.3,0,0,,
294.8,1.409515279,294.8,0,0,,
309,1.407406238,309,0,0,,
323.9,1.405499789,323.9,0,0,,
339.4,1.403788147,339.4,0,0,,
355.8,1.40222319,355.8,0,0,,
372.9,1.400811625,372.9,0,0,,
390.8,1.399530958,390.8,0,0,,
409.7,1.398357681,409.7,0,0,,
429.4,1.397294948,429.4,0,0,,
450,1.396326965,450,0,0,,
471.7,1.395437173,471.7,0,0,,
494.4,1.394623282,494.4,0,0,,
518.2,1.393875145,518.2,0,0,,
543.1,1.393186875,543.1,0,0,,
569.3,1.392548044,569.3,0,0,,
596.7,1.391956562,596.7,0,0,,
625.4,1.391405626,625.4,0,0,,
655.5,1.390889328,655.5,0,0,,
687,1.390403901,687,0,0,,
720.1,1.389942889,720.1,0,0,,
754.7,1.389504438,754.7,0,0,,
791.1,1.389081729,791.1,0,0,,
829.1,1.388674144,829.1,0,0,,
869,1.388275541,869,0,0,,
910.9,1.387882326,910.9,0,0,,
954.7,1.38749272,954.7,0,0,,
1001,1.387098865,1001,0,0,,
1049,1.386704836,1049,0,0,,
1099,1.386305186,1099,0,0,,
1152,1.385889286,1152,0,0,,
1208,1.385454487,1208,0,0,,
1266,1.385005591,1266,0,0,,
1327,1.384531779,1327,0,0,,
1391,1.384029811,1391,0,0,,
1457,1.383504304,1457,0,0,,
1528,1.382927581,1528,0,0,,
1601,1.382320038,1601,0,0,,
1678,1.38166112,1678,0,0,,
1759,1.380946021,1759,0,0,,
1844,1.380169626,1844,0,0,,
1932,1.379336181,1932,0,0,,
2025,1.378421086,2025,0,0,,
2123,1.37741722,2123,0,0,,
2225,1.376327893,2225,0,0,,
2332,1.375135108,2332,0,0,,
2444,1.373830425,2444,0,0,,
2562,1.372392464,2562,0,0,,
2685,1.370823097,2685,0,0,,
2814,1.36909862,2814,0,0,,
2950,1.367192133,2950,0,0,,
3092,1.365103241,3092,0,0,,
3241,1.36280185,3241,0,0,,
3397,1.360270418,3397,0,0,,
3560,1.357490202,3560,0,0,,
3731,1.354422791,3731,0,0,,
3911,1.351024539,3911,0,0,,
4099,1.347286647,4099,0,0,,
4296,1.34315934,4296,0,0,,
4503,1.338585977,4503,0,0,,
4720,1.333525995,4720,0,0,,
4947,1.327935185,4947,0,0,,
5185,1.32173853,5185,0,0,,
5435,1.314850211,5435,0,0,,
5696,1.307231907,5696,0,0,,
5971,1.298717706,5971,0,0,,
6258,1.28927958,6258,0,0,,
6559,1.278750786,6559,0,0,,
6875,1.26697244,6875,0,0,,
7206,1.25379997,7206,0,0,,
7552,1.239067769,7552,0,0,,
7916,1.222442849,7916,0,0,,
8297,1.203721178,8297,0,0,,
8696,1.182558084,8696,0,0,,
9115,1.158473857,9115,0,0,,
9553,1.1310643,9553,0,0,,
10010,1.099766455,10010,0,0,,
10490,1.063553193,10490,0,0,,
11000,1.020777826,11000,0,0,,
