"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.40893579,250,0.00822009,4131.867896935508," Jesus M. Siqueiros,  Roberto Machorro and  Luis E. Regalado, 'Determination of the optical constants of MgF<sub>2</sub> and ZnS from spectrophotometric measurements and the classical oscillator method', <i>Applied Optics</i> <b>27</b>(12), pp.2549, (1988)",Thermal evaporation on BK7 at room T with pressure 0.5-1.0x10<sup>-5</sup> Torr.
255,1.40466833,255,0.007371323,3632.579479849016,,
260,1.40100229,260,0.006687273,3232.1058045152886,,
265,1.39782059,265,0.006128,2905.913929237472,,
270,1.39503407,270,0.005665155,2636.6828636218497,,
275,1.39257467,275,0.005278137,2411.891843467705,,
280,1.39038861,280,0.004951672,2222.305196883754,,
285,1.38843346,285,0.004674223,2060.9831070933956,,
290,1.38667488,290,0.00443694,1922.6287046094756,,
295,1.38508523,295,0.004232933,1803.1391479237702,,
300,1.38364148,300,0.004056768,1699.2950061490876,,
305,1.382325,305,0.00390411,1608.540759974616,,
310,1.38112,310,0.003771462,1528.8254596765248,,
315,1.38001287,315,0.003655977,1458.4876806213651,,
320,1.37899256,320,0.003555314,1396.1685429506178,,
325,1.37804949,325,0.003467533,1340.7478398621756,,
330,1.37717521,330,0.003391017,1291.2962539876487,,
335,1.3763628,335,0.003324402,1247.034853824384,,
340,1.37560606,340,0.003266537,1207.309251985793,,
345,1.37489951,345,0.00321644,1171.5645535898382,,
350,1.37423837,350,0.003173269,1139.327837515912,,
355,1.37361872,355,0.003136299,1110.1942420125088,,
360,1.37303662,360,0.003104904,1083.8159551668402,,
365,1.37248909,365,0.003078538,1059.8917659832343,,
370,1.371973,370,0.003056724,1038.160179724498,,
375,1.371486,375,0.003039042,1018.3927489227556,,
380,1.37102556,380,0.003025126,1000.3909071351028,,
385,1.37058985,385,0.003014647,983.9784798302867,,
390,1.37017679,390,0.003007318,969.0018600829077,,
395,1.36978483,395,0.003002879,955.3238082044622,,
400,1.36941242,400,0.003001099,942.8230571095676,,
405,1.36905825,405,0.003001773,931.3923955105379,,
410,1.368721,410,0.003004714,920.9353588817953,,
415,1.3683995,415,0.003009755,911.3661876727853,,
420,1.36809266,420,0.003016744,902.6076941105798,,
425,1.36779976,425,0.003025543,894.5904622983552,,
430,1.36751974,430,0.003036027,887.2521041209544,,
435,1.36725175,435,0.003048083,880.5365664673046,,
440,1.36699522,440,0.003061606,874.3926288896757,,
445,1.36674941,445,0.003076502,868.7744792767916,,
450,1.36651361,450,0.003092683,863.6400171272928,,
455,1.36628735,455,0.003110069,858.9512019830643,,
460,1.36607,460,0.003128586,854.6732864107719,,
465,1.36586118,465,0.003148167,850.7749092020489,,
470,1.36566031,470,0.003168748,847.2268457767957,,
475,1.36546707,475,0.003190271,844.0026893945738,,
480,1.365281,480,0.003212683,841.0784425927347,,
485,1.3651017,485,0.003235933,838.4316156955695,,
490,1.364929,490,0.003259974,836.0416627994884,,
495,1.36476231,495,0.003284764,833.8901374687857,,
500,1.36460149,500,0.003310262,831.9595824525966,,
505,1.36444616,505,0.003336431,830.2342272324156,,
510,1.3642962,510,0.003363234,828.6989197414442,,
515,1.36415124,515,0.00339064,827.3405603858405,,
520,1.36401117,520,0.003418617,826.1463117413215,,
525,1.36387563,525,0.003447136,825.1045435066595,,
530,1.3637445,530,0.003476171,824.2047755639159,,
535,1.36361754,535,0.003505695,823.4366846898296,,
540,1.36349452,540,0.003535685,822.7912608450096,,
545,1.36337543,545,0.003566118,822.259824633712,,
550,1.36326,550,0.003596973,821.8344692335156,,
555,1.36314809,555,0.003628229,821.5075727525364,,
560,1.36303949,560,0.003659868,821.2724587077407,,
565,1.36293411,565,0.003691871,821.1224645381384,,
570,1.362832,570,0.003724223,821.0520433073783,,
575,1.36273265,575,0.003756905,821.0549668337226,,
580,1.36263633,580,0.003789905,821.1267383312569,,
585,1.36254263,585,0.003823206,821.2619407015671,,
590,1.36245167,590,0.003856796,821.456405423356,,
595,1.36236322,595,0.003890662,821.7058928941831,,
600,1.36227727,600,0.003924791,822.0063048316894,,
605,1.36219358,605,0.003959171,822.3538861425293,,
610,1.36211228,610,0.003993792,822.7454168633237,,
615,1.362033,615,0.004028643,823.1775774137202,,
620,1.361956,620,0.004063713,823.6471552966026,,
625,1.361881,625,0.004098994,824.1516440005529,,
630,1.361808,630,0.004134477,824.6884171197439,,
635,1.36173677,635,0.004170151,825.2545351785909,,
640,1.36166751,640,0.004206011,825.8483286573662,,
645,1.36159992,645,0.004242046,826.467010839688,,
650,1.36153412,650,0.004278251,827.1090407269654,,
655,1.36146986,655,0.004314617,827.7721569620539,,
660,1.36140728,660,0.004351139,828.4549283120025,,
665,1.36134624,665,0.004387809,829.155399684522,,
670,1.36128676,670,0.00442462,829.8718619060578,,
675,1.3612287,675,0.004461569,830.6034011190495,,
680,1.36117208,680,0.004498647,831.3480215466918,,
685,1.36111677,685,0.004535851,832.1048863870316,,
690,1.36106277,690,0.004573174,832.8724546079912,,
695,1.36101007,695,0.004610612,833.6497719570041,,
700,1.36095858,700,0.00464816,834.435731926282,,
705,1.36090827,705,0.004685813,835.2292593983291,,
710,1.36085916,710,0.004723568,836.0296635229201,,
715,1.36081123,715,0.004761419,836.8357455140061,,
720,1.36076438,720,0.004799363,837.646863483926,,
725,1.36071861,725,0.004837396,838.4622199230153,,
730,1.3606739,730,0.004875514,839.2810391711884,,
735,1.36063015,735,0.004913713,840.1025666747572,,
740,1.36058736,740,0.004951991,840.9264079050148,,
745,1.36054552,745,0.004990344,841.7518415723974,,
750,1.36050463,750,0.005028768,842.57816562173,,
755,1.36046469,755,0.005067262,843.40519592131,,
760,1.36042559,760,0.005105821,844.2320917970786,,
765,1.36038733,765,0.005144443,845.058527352232,,
770,1.36034989,770,0.005183125,845.8840219551997,,
775,1.3603133,775,0.005221866,846.7084316712422,,
780,1.36027741,780,0.005260661,847.5309718269916,,
785,1.36024237,785,0.00529951,848.3516781465298,,
790,1.360208,790,0.00533841,849.1701082455843,,
795,1.36017454,795,0.005377358,849.9858308690467,,
800,1.36014163,800,0.005416352,850.7985826228191,,
805,1.36010945,805,0.005455391,851.6082627607393,,
810,1.360078,810,0.005494472,852.414462743448,,
815,1.3600471,815,0.005533593,853.2169382456885,,
820,1.36001682,820,0.005572754,854.0157573982017,,
825,1.35998726,825,0.005611951,854.8103774014977,,
830,1.35995829,830,0.005651184,855.600874143816,,
835,1.35992992,835,0.00569045,856.3868702093431,,
840,1.35990214,840,0.005729749,857.1684459673079,,
845,1.35987484,845,0.005769078,857.9452337413728,,
850,1.35984814,850,0.005808437,858.7173180253711,,
855,1.359822,855,0.005847823,859.4843404113884,,
860,1.3597964,860,0.005887236,860.2463891883424,,
865,1.35977137,865,0.005926674,861.0032600518673,,
870,1.35974669,870,0.005966136,861.7548978352918,,
875,1.35972261,875,0.006005621,862.5012486328953,,
880,1.359699,880,0.006045128,863.2422597640891,,
885,1.35967588,885,0.006084655,863.9777377459164,,
890,1.35965312,890,0.006124201,864.7076346385288,,
895,1.359631,895,0.006163766,865.4320439797339,,
900,1.35960913,900,0.006203349,866.1509176023819,,
905,1.35958779,905,0.006242948,866.864069548866,,
910,1.35956681,910,0.006282562,867.5714560405452,,
915,1.3595463,915,0.006322192,868.2733089304552,,
920,1.35952616,920,0.006361835,868.9693086674097,,
925,1.35950637,925,0.006401491,869.6595501674022,,
930,1.359487,930,0.006441159,870.3439911829583,,
935,1.3594681,935,0.006480839,871.0227247699773,,
940,1.35944951,940,0.00652053,871.6957083196535,,
945,1.35943127,945,0.00656023,872.3627671474866,,
950,1.35941339,950,0.00659994,873.024127079302,,
955,1.35939586,955,0.006639658,873.6796144564901,,
960,1.3593787,960,0.006679385,874.3294519374109,,
965,1.35936189,965,0.006719119,874.9734669013718,,
970,1.35934532,970,0.00675886,875.6117493872953,,
975,1.3593291,975,0.006798607,876.2442587012981,,
980,1.35931325,980,0.006838359,876.8709549799854,,
985,1.35929763,985,0.006878117,877.4920543241044,,
990,1.35928237,990,0.006917879,878.1073876696204,,
995,1.35926735,995,0.006957646,878.717168236318,,
1000,1.35925269,1000,0.006997416,879.3212279884672,,
1005,1.35923827,1005,0.007037189,879.9196523113594,,
1010,1.3592242,1010,0.007076965,880.5125248994888,,
1015,1.35921037,1015,0.007116744,881.0999277981966,,
1020,1.35919678,1020,0.007156524,881.6816950446682,,
1025,1.35918343,1025,0.007196305,882.2579091118633,,
1030,1.35917044,1030,0.007236088,882.8287728749227,,
1035,1.35915756,1035,0.007275872,883.3942424602774,,
1040,1.359145,1040,0.007315656,883.9542748380804,,
1045,1.35913277,1045,0.00735544,884.5089480543736,,
1050,1.35912073,1050,0.007395223,885.0582189888866,,
1055,1.35910892,1055,0.007435006,885.6022835638307,,
1060,1.35909736,1060,0.007474788,886.1410969034392,,
1065,1.35908592,1065,0.007514569,886.6747329687736,,
1070,1.35907483,1070,0.007554348,887.2031468957288,,
1075,1.359064,1075,0.007594126,887.726528447823,,
1080,1.35905325,1080,0.007633901,888.2447148085844,,
1085,1.35904276,1085,0.007673674,888.7578936200185,,
1090,1.35903251,1090,0.007713444,889.2660185055512,,
1095,1.3590225,1095,0.007753212,889.7692734584193,,
1100,1.3590126,1100,0.007792976,890.26749640733,,
1105,1.359003,1105,0.007832737,890.76086938284,,
1110,1.35899353,1110,0.007872495,891.2494579251307,,
1115,1.35898423,1115,0.007912248,891.7331009930236,,
1120,1.35897517,1120,0.007951998,892.212089220026,,
1125,1.35896623,1125,0.007991744,892.6863729696109,,
1130,1.35895753,1130,0.008031485,893.1559034837742,,
1135,1.35894907,1135,0.008071222,893.6208542975265,,
1140,1.35894072,1140,0.008110955,894.0812856700843,,
1145,1.3589325,1145,0.008150682,894.5370373081769,,
1150,1.35892451,1150,0.008190405,894.9883887973951,,
1155,1.35891676,1155,0.008230122,895.4351796830384,,
1160,1.358909,1160,0.008269834,895.8775772692102,,
1165,1.3589015,1165,0.00830954,896.3155302561556,,
1170,1.35889423,1170,0.008349241,896.7492030307932,,
1175,1.35888708,1175,0.008388936,897.178543286296,,
1180,1.35888,1180,0.008428626,897.6037125917262,,
1185,1.35887313,1185,0.008468309,898.024551653277,,
1190,1.35886645,1190,0.008507986,898.4412206536072,,
1195,1.3588599,1195,0.008547657,898.8537719365816,,
1200,1.35885346,1200,0.008587322,899.262256973667,,
1205,1.35884726,1205,0.00862698,899.6666220967991,,
1210,1.35884106,1210,0.008666632,900.067022233594,,
1215,1.3588351,1215,0.008706277,900.4634029075814,,
1220,1.35882926,1220,0.008745915,900.8558135383861,,
1225,1.35882354,1225,0.008785547,901.2444053213991,,
1230,1.358818,1230,0.008825172,901.6291226623201,,
1235,1.35881257,1235,0.008864789,902.0099108671614,,
1240,1.35880733,1240,0.0089044,902.387020149192,,
1245,1.35880208,1245,0.008944003,902.7602929633758,,
1250,1.35879707,1250,0.008983599,903.1298758782916,,
1255,1.35879219,1255,0.009023188,903.4958129963212,,
1260,1.35878742,1260,0.00906277,903.8581477198085,,
1265,1.35878265,1265,0.009102344,904.2168234259964,,
1270,1.35877812,1270,0.009141911,904.5719822794243,,
1275,1.35877371,1275,0.00918147,904.9235670950615,,
1280,1.35876942,1280,0.009221021,905.2716197561626,,
1285,1.35876524,1285,0.009260565,905.616279286872,,
1290,1.35876107,1290,0.009300101,905.9574877284679,,
1295,1.35875714,1295,0.00933963,906.2953820925663,,
1300,1.35875332,1300,0.00937915,906.6298072897449,,
1305,1.35874951,1305,0.009418663,906.9609957835403,,
1310,1.35874593,1310,0.009458167,907.2887927824554,,
1315,1.35874236,1315,0.009497664,907.6134280962509,,
1320,1.3587389,1320,0.009537153,907.9348424533897,,
1325,1.35873568,1325,0.009576634,908.2530723175317,,
1330,1.35873246,1330,0.009616107,908.5681536040116,,
1335,1.35872924,1335,0.009655571,908.8800275599896,,
1340,1.35872626,1340,0.009695028,909.1889176461893,,
1345,1.3587234,1345,0.009734476,909.4946702794397,,
1350,1.35872054,1350,0.009773916,909.7974134045552,,
1355,1.3587178,1355,0.009813348,910.0971803371244,,
1360,1.35871518,1360,0.009852772,910.3940039028003,,
1365,1.35871267,1365,0.009892187,910.6878243849512,,
1370,1.35871029,1370,0.009931594,910.9787663893859,,
1375,1.3587079,1375,0.009970993,911.2668613176802,,
1380,1.35870564,1380,0.010010384,911.5521401163134,,
1385,1.35870349,1385,0.0100497659,911.8345334797752,,
1390,1.35870147,1390,0.0100891395,912.1141448702907,,
1395,1.35869944,1395,0.0101285046,912.3909861852451,,
1400,1.35869753,1400,0.0101678623,912.665185839789,,
1405,1.35869575,1405,0.01020721,912.9365394917656,,
1410,1.358694,1410,0.01024655,913.2052824011489,,
1415,1.35869241,1415,0.0102858823,913.4714422436548,,
1420,1.35869086,1420,0.0103252046,913.7348427653955,,
1425,1.35868931,1425,0.01036452,913.9957863855294,,
1430,1.35868788,1430,0.0104038259,914.2540703962858,,
1435,1.35868657,1435,0.0104431231,914.5097926548813,,
1440,1.35868537,1440,0.0104824118,914.7629972995268,,
1445,1.35868418,1445,0.0105216932,915.0138148220259,,
1450,1.35868311,1450,0.0105609652,915.2620879210333,,
1455,1.35868216,1455,0.0106002288,915.5079291945278,,
1460,1.3586812,1460,0.010639484,915.7513636270177,,
1465,1.35868037,1465,0.01067873,915.9923472401075,,
1470,1.35867965,1470,0.0107179685,916.2310503675324,,
1475,1.35867894,1475,0.0107571976,916.46733432878,,
1480,1.35867822,1480,0.0107964184,916.7013170411262,,
1485,1.35867774,1485,0.0108356308,916.9330132873075,,
1490,1.35867727,1490,0.0108748339,917.1623701811877,,
1495,1.35867679,1495,0.01091403,917.3896045233073,,
1500,1.35867643,1500,0.0109532159,917.6144694566112,,
1505,1.3586762,1505,0.0109923938,917.8371722909233,,
1510,1.358676,1510,0.0110315643,918.0577844366471,,
1515,1.35867584,1515,0.0110707246,918.2760943439156,,
1520,1.35867584,1520,0.0111098774,918.4923479506126,,
1525,1.35867572,1525,0.0111490209,918.7064171582706,,
1530,1.35867584,1530,0.011188156,918.9183973023938,,
1535,1.358676,1535,0.0112272827,919.1283087972841,,
1540,1.3586762,1540,0.011266401,919.3361717921221,,
1545,1.35867643,1545,0.01130551,919.5419329730988,,
1550,1.35867667,1550,0.0113446116,919.7457667197303,,
1555,1.35867715,1555,0.0113837039,919.9475380805526,,
1560,1.35867751,1560,0.0114227878,920.1473393844901,,
