"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
190.77,0.783,190.77,2.3,1515052.2835365147,'Sopra SA database',-
191.51,0.7844,191.51,2.3135,1518056.4156607983,,
192.25,0.7858,192.25,2.3281,1521756.4331490034,,
193,0.7873,193,2.3437,1526000.1455374921,,
193.75,0.789,193.75,2.36,1530665.0141877495,,
194.51,0.7909,194.51,2.377,1535667.2124997047,,
195.28,0.7929,195.28,2.3944,1540808.9819244985,,
196.05,0.7953,196.05,2.4121,1546102.6553887154,,
196.83,0.798,196.83,2.43,1551403.779550515,,
197.61,0.8011,197.61,2.4475,1556408.6877508261,,
198.4,0.8046,198.4,2.465,1561295.54256025,,
199.2,0.8086,199.2,2.4825,1566065.0125575627,,
200,0.813,200,2.5,1570796.3267948967,,
200.81,0.8187,200.81,2.5175,1575411.4845699526,,
201.63,0.8246,201.63,2.535,1579911.1990973814,,
202.45,0.8304,202.45,2.5525,1584374.4624920622,,
203.28,0.836,203.28,2.57,1588723.5576005052,,
204.12,0.8389,204.12,2.5865,1592343.6015108759,,
204.96,0.8419,204.96,2.6034,1596179.218258327,,
205.81,0.8454,205.81,2.6211,1600394.2479615582,,
206.67,0.85,206.67,2.64,1605226.6135340505,,
207.53,0.8563,207.53,2.6605,1610987.761745414,,
208.4,0.8621,208.4,2.6806,1616382.5848776966,,
209.28,0.8677,209.28,2.7004,1621474.9238826218,,
210.17,0.873,210.17,2.72,1626327.642910832,,
211.06,0.8783,211.06,2.7396,1631139.4359470475,,
211.97,0.8836,211.97,2.7594,1635875.0329415812,,
212.88,0.8892,212.88,2.7795,1640747.2342451764,,
213.79,0.895,213.79,2.8,1645813.0745219928,,
214.72,0.9016,214.72,2.8216,1651325.9745471238,,
215.65,0.9087,215.65,2.8438,1657140.9577145658,,
216.59,0.9161,216.59,2.8666,1663177.3398181822,,
217.54,0.924,217.54,2.89,1669431.4183827348,,
218.5,0.9322,218.5,2.9145,1676187.0551739044,,
219.47,0.9408,219.47,2.9394,1683035.940394922,,
220.44,0.9497,220.44,2.9646,1689995.5690133008,,
221.43,0.959,221.43,2.99,1696854.4522844206,,
222.42,0.9682,222.42,3.0146,1703200.2901738677,,
223.42,0.9779,223.42,3.0394,1709525.8636327668,,
224.43,0.9885,224.43,3.0645,1715886.5903713265,,
225.45,1,225.45,3.09,1722336.8905908116,,
226.48,1.0136,226.48,3.117,1729485.040840584,,
227.52,1.0282,227.52,3.1444,1736713.0696110665,,
228.57,1.0437,228.57,3.1721,1743963.9596538797,,
229.63,1.06,229.63,3.2,1751181.7256433985,,
230.7,1.0762,230.7,3.2275,1758039.0618918177,,
