l,a
276.38,418405.3983
277.97,423498.4889
279.55,427613.9704
281.14,430710.4084
282.73,432797.7512
284.31,433889.1835
285.9,433953.8303
287.49,433010.669
289.08,431064.592
290.67,428123.8434
292.25,424212.7228
293.84,419314.9489
295.43,413462.2198
297.02,406675.7949
298.6,398993.6298
300.19,390421.0895
301.78,381010.2916
303.37,370806.3118
304.96,359863.9992
306.54,348257.0343
308.13,336034.2852
309.72,323285.8294
311.31,310100.0503
312.9,296570.3626
314.48,282803.6772
316.07,268883.038
317.66,254918.5951
319.25,241011.3765
320.84,227255.7076
322.42,213748.7337
324.01,200557.7392
325.6,187761.8777
327.19,175422.2168
328.78,163589.852
330.37,152304.2445
331.95,141598.5228
333.54,131483.4797
335.13,121972.5012
336.72,113068.226
338.31,104765.0715
339.9,97052.01383
341.48,89915.7158
343.07,83331.73641
344.66,77280.29892
346.25,71737.73519
347.84,66679.00351
349.43,62077.71979
351.01,57909.9858
352.6,54146.58785
354.19,50764.31972
355.78,47738.29201
357.37,45045.11314
358.96,42661.80601
360.55,40565.10174
362.14,38620.7521
363.72,36741.05219
365.31,34926.88057
366.9,33179.80794
368.49,31500.32982
370.08,29887.57499
371.67,28340.68711
373.26,26859.49778
374.85,25442.16527
376.43,24087.85267
378.02,22794.12377
379.61,21559.56338
381.2,20382.77181
382.79,19262.04435
384.38,18195.37757
385.97,17181.12661
387.56,16217.02514
389.14,15301.55998
390.73,14432.68875
392.32,13608.33645
393.91,12827.00692
395.5,12086.59262
397.09,11385.65267
398.68,10722.13879
400.27,10094.66312
401.86,9501.547084
403.44,8941.048693
405.03,8411.398507
406.62,7911.232142
408.21,7439.281553
409.8,6993.991727
411.39,6574.137154
412.98,6178.20691
414.57,5805.319488
416.16,5453.700972
417.75,5122.807697
419.33,4811.319968
420.92,4517.886689
422.51,4241.830435
424.1,3982.06684
425.69,3737.82294
427.28,3508.337274
428.87,3292.566666
430.46,3089.483348
432.05,2898.947249
433.64,2719.950987
435.22,2551.84926
436.81,2393.827291
438.4,2245.550807
439.99,2106.05734
441.58,1975.536591
443.17,1852.757759
444.76,1737.637811
446.35,1629.531827
447.94,1528.365118
449.52,1433.2573
451.11,1344.078788
452.7,1260.523282
454.29,1181.978508
455.88,1108.392038
457.47,1039.43748
459.06,974.792963
460.65,914.14106
462.24,857.1687121
463.82,803.8554097
465.41,754.1280403
467,707.1610701
468.59,663.1945737
470.18,622.1981112
471.77,583.6089199
473.36,547.4027422
474.95,513.5556451
476.53,481.7904248
478.12,452.065537
479.71,424.1094416
481.3,397.9046087
482.89,373.4337392
484.48,350.4203827
486.07,328.850236
487.66,308.7091825
489.24,289.7323615
490.83,271.8962898
492.42,255.1961865
494.01,239.6210829
495.6,224.9065927
497.19,211.297207
498.78,198.5304151
500.36,186.3507674
501.95,174.9953792
503.54,164.4603852
505.13,154.4892632
506.72,145.0767053
508.31,136.4646885
509.89,128.1553417
511.48,120.3863612
513.07,113.1553828
514.66,106.4574202
516.25,100.0441322
517.84,94.15556539
519.42,88.54667985
521.01,83.21141364
522.6,78.14907098
524.19,73.59689766
525.78,69.31126095
527.37,65.05146629
528.95,61.29357441
530.54,57.7938408
532.13,54.31502154
533.72,51.09237846
535.31,48.12362885
536.89,45.40736276
538.48,42.70624392
540.07,40.25371001
541.66,37.81557453
543.24,35.6236852
544.83,33.6745427
546.42,31.73674362
548.01,29.81018923
549.6,28.12342768
551.18,26.44687745
552.77,25.0067979
554.36,23.57497915
555.95,22.15135031
557.53,20.96160686
559.12,19.7782339
560.71,18.60157231
562.3,17.65504675
563.88,16.71415542
565.47,15.77824312
567.06,14.84757929
568.65,13.92211991
570.23,13.22242318
571.82,12.52637412
573.41,11.83418519
575,11.14582437
576.58,10.46144142
578.17,9.997977208
579.76,9.320303857
581.34,8.862648281
582.93,8.407329421
584.52,7.95448766
586.1,7.504230874
587.69,7.056275082
589.28,6.610736645
590.86,6.380379759
592.45,5.939039197
594.04,5.711602023
595.63,5.485379111
597.21,5.050030889
598.8,4.82676226
600.38,4.604752882
601.97,4.38383612
