"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
305.6135754829421,1.453661485,308.4260453,0.02116138,,10.1364/OE.24.0A1288,
325.4622909807531,1.433181241,311.5218942,0.021695731,,,
340.5199372204718,1.440087,326.8190299,0.023169472,,,
353.90451165577724,1.467429148,339.9308604,0.023985106,,,
361.6614809307839,1.50996987,352.3142559,0.024881138,,,
366.5285989072586,1.559430217,366.8829565,0.025813665,,,
371.41744508898546,1.597441786,382.9085272,0.02638055,,,
373.5685374089452,1.642891427,396.7487928,0.025990148,,,
378.5996045705041,1.707262444,403.4665825,0.025051085,,,
377.4796143543267,1.665802489,408.9500796,0.024009618,,,
382.4573486484486,1.779412078,412.7743635,0.022895052,,,
380.21736821609375,1.737971171,414.7515443,0.021559867,,,
386.6054605602168,1.835790775,417.8734087,0.02037291,,,
389.3888436530133,1.896032224,418.8446554,0.019055024,,,
391.85282212860363,1.945939195,418.9660612,0.018097441,,,
393.31947598312166,1.986750252,420.5790245,0.016998858,,,
396.2527836921578,2.026324963,427.3990976,0.01562334,,,
398.7949837066557,2.066375256,444.0970698,0.01474694,,,
400.3594144848083,2.109255758,460.1226405,0.014276319,,,
407.4237972174036,2.149315439,476.1482112,0.014429627,,,
411.01709916097286,2.181993142,492.1737818,0.01480755,,,
419.23036074627396,2.115863266,508.1993525,0.014707721,,,
419.91479921171566,2.063905889,522.7680531,0.014096072,,,
418.5459222808322,2.168969522,534.4230136,0.013269373,,,
422.4244069183355,2.026904567,543.7886069,0.01238976,,,
426.36807617159513,1.987126061,553.3623244,0.011504544,,,
430.0835992697075,1.950720786,562.3116691,0.010591315,,,
436.18922494555306,1.911944685,572.6989634,0.009641414,,,
445.92346089850247,1.875422578,586.1419008,0.008647202,,,
457.55891481101236,1.838085428,599.9821664,0.007769626,,,
471.9321225852893,1.806985383,616.0077371,0.007052998,,,
486.98976882500796,1.785691389,632.0333077,0.006450461,,,
502.04741506472664,1.772752877,648.0588784,0.005972709,,,
517.1050613044454,1.766528593,664.0844491,0.005530611,,,
532.162707544164,1.758663053,680.1100198,0.005088512,,,
547.2203537838826,1.749007053,696.1355904,0.004671371,,,
562.2780000236013,1.737411387,712.1611611,0.004268491,,,
577.33564626332,1.728501412,728.1867318,0.003904829,,,
592.3932925030387,1.720785077,744.2123025,0.00357682,,,
607.4509387427573,1.712471922,760.2378731,0.003241681,,,
622.508584982476,1.704457178,776.2634438,0.002931499,,,
637.5662312221947,1.698382098,792.2890145,0.002667666,,,
652.6238774619134,1.692754634,802.4871049,0.002374122,,,
667.681523701632,1.688619221,833.0813762,0.001829818,,,
682.7391699413507,1.685229832,849.1069469,0.001655118,,,
697.7968161810694,1.682138854,865.1325176,0.001405546,,,
712.854462420788,1.678749466,881.1580882,0.001173801,,,
727.9121086605066,1.674614052,897.1836589,0.000942055,,,
742.9697549002253,1.673164329,913.2092296,0.000738833,,,
758.027401139944,1.669178121,929.2348003,0.000524914,,,
773.0850473796627,1.668474423,945.2603709,0.000321691,,,
788.1426936193814,1.662548549,961.2859416,0.000143426,,,
803.2003398591,1.661844851,977.3115123,-4.55359E-05,,,
818.2579860988187,1.658007848,993.337083,-0.000191714,,,
833.3156323385374,1.654767665,1009.362654,-0.000355718,,,
848.3732785782561,1.654511582,1025.388224,-0.000544679,,,
863.4309248179748,1.650376169,1041.413795,-0.000705118,,,
878.4885710576934,1.649075651,1057.439366,-0.000886949,,,
893.5462172974121,1.648819568,1073.464936,-0.001036692,,,
908.6038635371308,1.64632541,1089.490507,-0.001175739,,,
923.6615097768495,1.641742382,1105.516078,-0.001311221,,,
938.7191560165681,1.641486299,1121.541648,-0.001446703,,,
953.7768022562867,1.641230217,1137.567219,-0.00157862,,,
968.8344484960054,1.639332879,1153.59279,-0.001685579,,,
983.8920947357241,1.637435541,1169.61836,-0.00181393,,,
998.9497409754428,1.637179458,1185.643931,-0.00192802,,,
1014.0073872151614,1.636923376,1196.570457,-0.001952977,,,
1029.06503345488,1.635473653,,,,,
1044.122679694599,1.6331287,,,,,
1059.1803259343174,1.632872618,,,,,
1074.2379721740363,1.632616535,,,,,
1089.2956184137547,1.632360453,,,,,
1104.3532646534736,1.626882194,,,,,
1119.410910893192,1.623642011,,,,,
1134.468557132911,1.623385928,,,,,
1149.5262033726294,1.623129846,,,,,
1164.583849612348,1.622873763,,,,,
1179.6414958520668,1.6202304,,,,,
1191.9613882300184,1.617718857,,,,,
