"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.661532,300,0.885135,370764.48179136025," Salman Manzoor,  Jakob Häusele,  Kevin A. Bush,  Axel F. Palmstrom,  Joe Carpenter,  Zhengshan J. Yu,  Stacey F. Bent,  Michael D. Mcgehee and  Zachary C. Holman, 'Optical modeling of wide-bandgap perovskite and perovskite/silicon tandem solar cells using complex refractive indices for arbitrary-bandgap perovskite absorbers', <i>Optics Express</i> <b>26</b>(21), pp.27441, (2018)",Film deposited on glass
305,1.65347,305,0.918773,378545.6402775941,,
310,1.651378,310,0.959941,389128.2056102761,,
315,1.657255,315,1.007099,401764.4215666828,,
320,1.672692,320,1.05832,415601.2921433937,,
325,1.698834,325,1.111352,429712.64969259367,,
330,1.736326,330,1.163681,443128.6885723666,,
335,1.785243,335,1.212599,454864.72957018856,,
340,1.845006,340,1.255304,463959.27346139785,,
345,1.914287,345,1.289045,469525.1364807716,,
350,1.990948,350,1.311355,470827.7981997993,,
355,2.072066,355,1.320347,467379.429339642,,
360,2.154105,360,1.315045,459037.3012377766,,
365,2.233271,365,1.295644,446069.66269235004,,
370,2.306,370,1.263589,429154.8021142566,,
375,2.369451,375,1.221399,409294.73338687146,,
380,2.421862,380,1.172266,387661.2898582203,,
385,2.462661,385,1.119551,365420.5918876994,,
390,2.49233,390,1.066329,343586.8054061283,,
395,2.512119,395,1.015093,322937.5910390303,,
400,2.523713,400,0.967629,303989.6157800438,,
405,2.528946,405,0.925046,287023.97213161725,,
410,2.529598,410,0.887881,272132.72457189846,,
415,2.527281,415,0.856232,259270.5697319032,,
420,2.523383,420,0.829883,248300.41296562462,,
425,2.519064,425,0.808405,239028.631447083,,
430,2.515261,430,0.791227,231229.10981598994,,
435,2.512709,435,0.777694,224661.86272559638,,
440,2.511962,440,0.767095,219081.81969140566,,
445,2.513403,445,0.758693,214247.5824835956,,
450,2.517256,450,0.751741,209925.68915575507,,
455,2.523595,455,0.745507,205897.0825845948,,
460,2.532344,460,0.739289,201960.42532867342,,
465,2.543294,465,0.732447,197939.79478226954,,
470,2.556109,470,0.724421,193688.14397499332,,
475,2.570352,475,0.714758,189092.92479111862,,
480,2.585506,480,0.703134,184080.05074076712,,
485,2.601013,485,0.689366,178615.0236069758,,
490,2.616307,490,0.673414,172701.42654894016,,
495,2.630855,495,0.655377,166377.9853358964,,
500,2.644186,500,0.635476,159712.5386506102,,
505,2.655918,505,0.61402,152792.13632928356,,
510,2.665774,510,0.591385,145716.92325044706,,
515,2.673586,515,0.567974,138589.7433654376,,
520,2.679287,520,0.544189,131509.24342802895,,
525,2.682904,525,0.52041,124565.04631273633,,
530,2.684535,530,0.496972,117832.72333885485,,
535,2.684334,535,0.474159,111373.04157259683,,
540,2.68249,540,0.452199,105231.4856563445,,
545,2.679212,545,0.431261,99438.26711044315,,
550,2.674716,550,0.411466,94011.53184014384,,
555,2.669213,555,0.392886,88957.67721068682,,
560,2.662902,560,0.375559,84275.2425278235,,
565,2.655968,565,0.359488,79955.03432592477,,
570,2.648578,570,0.344656,75983.7724642557,,
575,2.640879,575,0.331025,72344.04926292601,,
580,2.633,580,0.318547,69016.89069124605,,
585,2.625051,585,0.307163,65981.60849604114,,
590,2.617129,590,0.296811,63217.576752856956,,
595,2.609314,595,0.287425,60704.01804759975,,
600,2.601674,600,0.27894,58421.0569861558,,
605,2.594268,605,0.271288,56348.8520864177,,
610,2.587142,610,0.264406,54469.2424370533,,
615,2.580339,615,0.258233,52765.06638793191,,
620,2.573891,620,0.252708,51219.71589053996,,
625,2.567828,625,0.247774,49817.918601635676,,
630,2.562174,630,0.243377,48545.48541287131,,
635,2.55695,635,0.239465,47389.06990814991,,
640,2.552175,640,0.235986,46335.742746877564,,
645,2.547864,645,0.232894,45374.1444629545,,
650,2.544034,650,0.230141,44492.878454757454,,
655,2.540698,655,0.227681,43681.27981447193,,
660,2.53787,660,0.225469,42929.197212862855,,
665,2.535563,665,0.223458,42226.40668787175,,
670,2.533793,670,0.221601,41562.989470337416,,
675,2.532572,675,0.219851,40929.32068055523,,
680,2.531915,680,0.218157,40315.31932524638,,
685,2.531837,685,0.216464,39710.4649440386,,
690,2.532354,690,0.214712,39103.63141087372,,
695,2.53348,695,0.212838,38483.4703427191,,
700,2.535231,700,0.210766,37836.62384151465,,
705,2.537619,705,0.208413,37148.86523192111,,
710,2.540653,710,0.205684,36404.24469639229,,
715,2.544339,715,0.202466,35584.09500429153,,
720,2.548669,720,0.198629,34667.300399438165,,
725,2.553623,725,0.194019,33629.16772727382,,
730,2.559156,730,0.188456,32441.204664379075,,
735,2.565189,735,0.181732,31070.90699984655,,
740,2.571588,740,0.173607,29481.21490874396,,
745,2.578146,745,0.163815,27631.677881761716,,
750,2.584547,750,0.152077,25480.745918932,,
755,2.590328,755,0.13813,22990.632754456063,,
760,2.594842,760,0.121788,20137.27821554704,,
765,2.597225,765,0.103041,16926.16201927037,,
770,2.596419,770,0.082212,13416.967025294756,,
775,2.591282,775,0.060151,9753.287210636368,,
780,2.580882,780,0.038426,6190.709708043149,,
785,2.564991,785,0.019357,3098.6909042312163,,
790,2.544738,790,0.005723,910.3460636199688,,
795,2.523454,795,0.000061,9.642120848753578,,
800,2.507665,800,0,0,,
805,2.495454,805,0,0,,
810,2.485086,810,0,0,,
815,2.475969,815,0,0,,
820,2.467781,820,0,0,,
825,2.460325,825,0,0,,
830,2.453464,830,0,0,,
835,2.4471,835,0,0,,
840,2.44116,840,0,0,,
845,2.435588,845,0,0,,
850,2.430337,850,0,0,,
855,2.425372,855,0,0,,
860,2.420662,860,0,0,,
865,2.416182,865,0,0,,
870,2.411911,870,0,0,,
875,2.40783,875,0,0,,
880,2.403923,880,0,0,,
885,2.400177,885,0,0,,
890,2.39658,890,0,0,,
895,2.393121,895,0,0,,
900,2.38979,900,0,0,,
950,2.36203,950,0,0,,
1000,2.341297,1000,0,0,,
1050,2.325071,1050,0,0,,
1100,2.31198,1100,0,0,,
1150,2.301185,1150,0,0,,
1200,2.292135,1200,0,0,,
1250,2.284445,1250,0,0,,
1300,2.277838,1300,0,0,,
1350,2.272108,1350,0,0,,
1400,2.267099,1400,0,0,,
1450,2.26269,1450,0,0,,
1500,2.258784,1500,0,0,,
1550,2.255305,1550,0,0,,
1600,2.25219,1600,0,0,,
1650,2.249389,1650,0,0,,
1700,2.24686,1700,0,0,,
1750,2.244568,1750,0,0,,
1800,2.242483,1800,0,0,,
1850,2.240581,1850,0,0,,
1900,2.23884,1900,0,0,,
1950,2.237242,1950,0,0,,
2000,2.235772,2000,0,0,,
