"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.76104,300,0.77971,326604.1610573997," Salman Manzoor,  Jakob Häusele,  Kevin A. Bush,  Axel F. Palmstrom,  Joe Carpenter,  Zhengshan J. Yu,  Stacey F. Bent,  Michael D. Mcgehee and  Zachary C. Holman, 'Optical modeling of wide-bandgap perovskite and perovskite/silicon tandem solar cells using complex refractive indices for arbitrary-bandgap perovskite absorbers', <i>Optics Express</i> <b>26</b>(21), pp.27441, (2018)",Film deposited on quartz
305,1.75117,305,0.855994,352679.92943173007,,
310,1.74976,310,0.93011,377035.7087781164,,
315,1.764587,315,1.003235,400222.94677132147,,
320,1.79473,320,1.07196,420957.70761776436,,
325,1.836348,325,1.1351,438894.9933648953,,
330,1.89081,330,1.18924,452861.5330127426,,
335,1.954717,335,1.234619,463124.77377700014,,
340,2.0269,340,1.26547,467716.6182750913,,
345,2.10427,345,1.280816,466527.78390727704,,
350,2.18376,350,1.28759,462295.23255264945,,
355,2.261955,355,1.276235,451764.5634089206,,
360,2.33542,360,1.25275,437292.24408717925,,
365,2.39998,365,1.217928,419313.27752343117,,
370,2.45754,370,1.17285,398336.96689327445,,
375,2.502951,375,1.122848,376269.9763091192,,
380,2.5374,380,1.07014,353888.8381381665,,
385,2.56155,385,1.01737,332068.7914787167,,
390,2.57658,390,0.96663,311462.32889635913,,
395,2.583949,395,0.91944,292506.9315864911,,
400,2.58521,400,0.87679,275451.7022740995,,
405,2.581873,405,0.839243,260400.95243226262,,
410,2.57531,410,0.80705,247358.2781541115,,
415,2.566775,415,0.78023,236256.85167328815,,
420,2.55735,420,0.75865,226987.5492043711,,
425,2.548089,425,0.742064,219412.97043703118,,
430,2.53993,430,0.73013,213374.050620048,,
435,2.533828,435,0.722376,208681.48365329477,,
440,2.5307,440,0.71818,205111.72835955615,,
445,2.531389,445,0.71666,202377.86886486845,,
450,2.53666,450,0.71665,200126.43335067783,,
455,2.546938,455,0.716655,197928.6226952434,,
460,2.56217,460,0.71491,195300.52208503295,,
465,2.581626,465,0.709609,191767.95022117847,,
470,2.60382,470,0.69927,186963.53147878594,,
475,2.626694,475,0.683053,180705.2030999974,,
480,2.64803,480,0.66112,173080.8112617737,,
485,2.665894,485,0.634495,164397.9241846974,,
490,2.67911,490,0.60484,155115.17555895925,,
495,2.687315,495,0.573926,145700.33982255968,,
500,2.69081,500,0.54334,136556.2361921183,,
505,2.690366,505,0.514173,127946.3064930079,,
510,2.68684,510,0.48712,120026.08732679686,,
515,2.68114,515,0.462449,112840.88396582106,,
520,2.67399,520,0.4402,106379.16047001745,,
525,2.665985,525,0.420238,100587.93246165848,,
530,2.65756,530,0.40234,95395.35005625036,,
535,2.64902,535,0.386251,90724.73301246439,,
540,2.64059,540,0.37175,86510.1532571856,,
545,2.632397,545,0.358584,82680.72367668568,,
550,2.62452,550,0.34657,79184.12843306288,,
555,2.61701,555,0.335519,75968.57841728244,,
560,2.60987,560,0.32529,72994.90530615885,,
565,2.603121,565,0.315759,70229.10829768918,,
570,2.59672,570,0.30681,67640.14330160593,,
575,2.590665,575,0.298376,65208.754755304915,,
580,2.58493,580,0.29037,62912.017849852986,,
585,2.579482,585,0.282737,60734.665442599486,,
590,2.57429,590,0.27544,58665.78172913714,,
595,2.569339,595,0.268443,56695.029022359995,,
600,2.5646,600,0.2617,54810.31982962993,,
605,2.560039,605,0.255217,53010.76709231248,,
610,2.55564,610,0.24896,51287.27259263704,,
615,2.551388,615,0.242936,49639.41157024326,,
620,2.54727,620,0.23713,48062.31393198372,,
625,2.543258,625,0.231549,46555.68879014803,,
630,2.53936,630,0.22621,45121.24915355854,,
635,2.535566,635,0.221104,43755.50879239796,,
640,2.53187,640,0.21626,42462.551704083045,,
645,2.528288,645,0.211688,41242.63352887542,,
650,2.52482,650,0.20742,40100.25527431353,,
655,2.521512,655,0.203471,39036.519011821,,
660,2.51838,660,0.19989,38058.96700157963,,
665,2.515478,665,0.196694,37168.86769354531,,
670,2.51287,670,0.19392,36371.20282890345,,
675,2.510654,675,0.191612,35672.109720868,,
680,2.50895,680,0.18979,35073.109983812166,,
685,2.507931,685,0.188489,34578.43256540067,,
690,2.50781,690,0.18768,34180.52807105696,,
695,2.508897,695,0.187295,33865.012722538144,,
700,2.51158,700,0.18718,33602.47502279643,,
705,2.516298,705,0.186971,33326.906101238994,,
710,2.52358,710,0.18604,32927.43083232931,,
715,2.533804,715,0.183254,32207.520007884974,,
720,2.54692,720,0.17697,30887.09177254365,,
725,2.561816,725,0.165059,28609.552651524285,,
730,2.57574,730,0.14583,25103.477077972577,,
735,2.584516,735,0.119473,20426.421719854876,,
740,2.58436,740,0.08925,15156.06185583184,,
745,2.574536,745,0.060349,10179.434902093446,,
750,2.55761,750,0.03701,6201.085019165774,,
755,2.537492,755,0.020709,3446.8472722220417,,
760,2.51736,760,0.01074,1775.8265841870725,,
765,2.499103,765,0.005556,912.6634657958114,,
770,2.48388,770,0.00346,564.6706795543213,,
775,2.471319,775,0.002077,336.7787324648258,,
780,2.4602,780,0.00103,165.9405350357686,,
785,2.450126,785,0.000339,54.26751131551286,,
790,2.44096,790,0.000021,3.3404276316650963,,
795,2.43273,795,0,0,,
800,2.42529,800,0,0,,
805,2.418441,805,0,0,,
810,2.41207,810,0,0,,
815,2.406107,815,0,0,,
820,2.4005,820,0,0,,
825,2.39521,825,0,0,,
830,2.39019,830,0,0,,
835,2.385424,835,0,0,,
840,2.38088,840,0,0,,
845,2.376542,845,0,0,,
850,2.37239,850,0,0,,
855,2.36841,855,0,0,,
860,2.36458,860,0,0,,
865,2.36091,865,0,0,,
870,2.35737,870,0,0,,
875,2.353965,875,0,0,,
880,2.35067,880,0,0,,
885,2.347501,885,0,0,,
890,2.34443,890,0,0,,
895,2.341456,895,0,0,,
900,2.33858,900,0,0,,
950,2.31402,950,0,0,,
1000,2.29511,1000,0,0,,
1050,2.28003,1050,0,0,,
1100,2.26769,1100,0,0,,
1150,2.25742,1150,0,0,,
1200,2.24874,1200,0,0,,
1250,2.24132,1250,0,0,,
1300,2.23491,1300,0,0,,
1350,2.22933,1350,0,0,,
1400,2.22444,1400,0,0,,
1450,2.22012,1450,0,0,,
1500,2.21628,1500,0,0,,
1550,2.21285,1550,0,0,,
1600,2.20978,1600,0,0,,
1650,2.20701,1650,0,0,,
1700,2.20451,1700,0,0,,
1750,2.20223,1750,0,0,,
1800,2.20016,1800,0,0,,
1850,2.19827,1850,0,0,,
1900,2.19654,1900,0,0,,
1950,2.19495,1950,0,0,,
2000,2.19348,2000,0,0,,
