"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.59969,300,0.8673,363293.7744611237," E. Raoult,  R. Bodeux,  S. Jutteau,  S. Rives,  A. Yaiche,  D. Coutancier,  J. Rousset and  S. Collin, 'Optical characterizations and modelling of semitransparent perovskite solar cells for tandem applications', <i>in 36th EU PVSEC</i>, pp.757-763, (2019)",Cs0.05(MA0.166FA0.833)0.95Pb(Br0.166I0.833)3 perovskite solution has been deposited by spin coating and annealed at 100 °C.
305,1.61109,305,0.90248,371832.7262966185,,
310,1.62575,310,0.93974,380939.391004448,,
315,1.64451,315,0.97888,390506.9481582192,,
320,1.66829,320,1.01947,400344.93281939835,,
325,1.69805,325,1.06079,410162.4702771097,,
330,1.73473,330,1.10175,419545.4189203097,,
335,1.77907,335,1.14083,427943.0623277425,,
340,1.83147,340,1.17605,434667.06355932663,,
345,1.89173,345,1.20508,438941.5043464334,,
350,1.95883,350,1.22543,439977.3583415475,,
355,2.03073,355,1.23478,437090.2283717865,,
360,2.10446,360,1.23149,429871.10410769936,,
365,2.17637,365,1.21507,418329.3134901206,,
370,2.24273,370,1.18644,402952.5608567648,,
375,2.30042,375,1.1479,384664.98208594386,,
380,2.34747,380,1.10264,364636.391953079,,
385,2.38327,385,1.05413,344067.22742115415,,
390,2.40838,390,1.00549,323983.5894623591,,
395,2.42423,395,0.95916,305143.2921131328,,
400,2.4326,400,0.91679,288018.0728884587,,
405,2.43536,405,0.87926,272817.4574415172,,
410,2.43424,410,0.84692,259578.30733446512,,
415,2.4307,415,0.81972,248214.58602415666,,
420,2.42597,420,0.79736,238569.5541206055,,
425,2.42102,425,0.77941,230455.40989500436,,
430,2.41665,430,0.76537,223672.62970028096,,
435,2.41349,435,0.75471,218022.19692788532,,
440,2.41205,440,0.74686,213302.71720546114,,
445,2.41275,445,0.74126,209324.67149662654,,
450,2.41592,450,0.73729,205890.20867246392,,
455,2.42182,455,0.73431,202804.6506775843,,
460,2.43059,460,0.73166,199876.32008047894,,
465,2.44231,465,0.72859,196897.46163260107,,
470,2.45689,470,0.72433,193663.81334252722,,
475,2.47408,475,0.7181,189977.06817202782,,
480,2.49343,480,0.7091,185641.94588837682,,
485,2.51425,485,0.69663,180497.12909445423,,
490,2.53564,490,0.68013,174423.78869273682,,
495,2.55646,495,0.65932,167378.97926180385,,
500,2.57546,500,0.63419,159389.3315984089,,
505,2.59137,505,0.60527,150614.7948862015,,
510,2.60303,510,0.57339,141282.96561896874,,
515,2.60976,515,0.5399,131739.4853338353,,
520,2.61118,520,0.50633,122360.20063785536,,
525,2.60766,525,0.47412,113485.09782247564,,
530,2.60006,530,0.44464,105424.73641450306,,
535,2.5895,535,0.41867,98339.48383390196,,
540,2.57734,540,0.3964,92246.46873207363,,
545,2.56481,545,0.37777,87104.54728415531,,
550,2.55267,550,0.3621,82732.41453562648,,
555,2.54158,555,0.34866,78943.97798923368,,
560,2.53168,560,0.3368,75577.74326636016,,
565,2.52287,565,0.32589,72482.38087634533,,
570,2.515,570,0.31547,69549.34978441909,,
575,2.5078,575,0.30534,66730.70614588574,,
580,2.50099,580,0.29534,63988.825814566175,,
585,2.49438,585,0.28545,61317.44430545001,,
590,2.48784,590,0.27572,58725.418742222224,,
595,2.48124,595,0.26621,56223.42052518581,,
600,2.47455,600,0.25697,53819.67094619794,,
605,2.46774,605,0.24809,51530.42786308045,,
610,2.46083,610,0.23961,49361.11578535412,,
615,2.45384,615,0.23159,47321.06944031611,,
620,2.4468,620,0.22404,45409.18826517788,,
625,2.43977,625,0.217,43630.438773055044,,
630,2.43279,630,0.21047,41981.65116197103,,
635,2.42589,635,0.20445,40459.75546623201,,
640,2.41912,640,0.19895,39063.74115198058,,
645,2.41253,645,0.19394,37784.8359216871,,
650,2.40616,650,0.18942,36620.33725802946,,
655,2.40005,655,0.18536,35561.86957370406,,
660,2.39425,660,0.18176,34607.023073726115,,
665,2.38878,665,0.17859,33747.791398773,,
670,2.38367,670,0.17582,32976.40718532283,,
675,2.37897,675,0.17345,32290.918267564415,,
680,2.37476,680,0.17142,31678.341922256604,,
685,2.37113,685,0.16972,31135.247017066264,,
690,2.36819,690,0.16829,30649.195807108772,,
695,2.36598,695,0.16709,30211.72468997517,,
700,2.36448,700,0.16606,29811.021488864062,,
705,2.36365,705,0.16513,29433.826660271352,,
710,2.36345,710,0.16424,29069.0240803148,,
715,2.36409,715,0.1632,28682.96061906877,,
720,2.36613,720,0.16172,28225.464663252293,,
725,2.37019,725,0.15943,27633.882304100447,,
730,2.37687,730,0.15602,26857.604702086548,,
735,2.38612,735,0.15098,25813.205923210175,,
740,2.3961,740,0.14338,24348.19214441646,,
745,2.4047,745,0.13224,22305.729530776603,,
750,2.40978,750,0.11656,19529.81545079607,,
755,2.40943,755,0.0956,15911.854711691882,,
760,2.40369,760,0.07101,11741.289175337435,,
765,2.39375,765,0.04582,7526.681066012252,,
770,2.38078,770,0.02305,3761.751203389337,,
775,2.36598,775,0.00574,930.722159050602,,
780,2.35042,780,0.00283,455.93370305944177,,
785,2.3348,785,0.00238,380.9931472888514,,
790,2.31969,790,0.00193,307.00120614826847,,
795,2.3057,795,0.00148,233.9399812484475,,
800,2.29341,800,0.00103,161.79202165987437,,
805,2.28323,805,0.00199,310.64692574627026,,
810,2.27488,810,0.00255,395.60796378538146,,
815,2.26792,815,0.00217,334.5892543945939,,
820,2.26191,820,0.00126,193.0930118791775,,
825,2.25641,825,0.000263048,40.06737766504184,,
830,2.25101,830,0.0000899808,13.623278084054578,,
835,2.24559,835,0.0000899808,13.541701568581198,,
840,2.24021,840,0.0000899808,13.461096202101547,,
845,2.23492,845,0.0000381963,5.680341560914169,,
850,2.2298,850,0.0000381963,5.6469277870264385,,
855,2.2249,855,0.0000381963,5.613904817511664,,
860,2.22027,860,0.000157268,22.980092718360915,,
865,2.2159,865,0.000220615,32.050056105050274,,
870,2.21175,870,0.000212301,30.664977560908813,,
875,2.20779,875,0.000157328,22.594765211610284,,
880,2.20399,880,0.0000806947,11.523176213801468,,
885,2.20032,885,0.00000740045,1.0508112702037777,,
890,2.19675,890,0.00000740045,1.0449078361015094,,
895,2.19327,895,0.00000740045,1.0390703621568083,,
900,2.18988,900,0.00000740045,1.0332977490337147,,
905,2.18659,905,0.00000740045,1.0275889216909873,,
910,2.18338,910,0.00000740045,1.021942828714663,,
915,2.18027,915,0.00000740045,1.0163584416725062,,
920,2.17725,920,0.00000489857,0.6691005010911022,,
925,2.17431,925,0.0000154033,2.092579205234147,,
930,2.17146,930,0.0000197215,2.6648137426998324,,
935,2.16869,935,0.0000192925,2.5929059366580143,,
940,2.16599,940,0.0000155559,2.0795872834032965,,
945,2.16337,945,0.00000995099,1.3232574425373755,,
950,2.16081,950,0.00000391727,0.5181670170159027,,
955,2.15831,955,6.90016e-7,0.09079577786217445,,
960,2.15588,960,6.90016e-7,0.09032288318580894,,
965,2.1535,965,6.90016e-7,0.08985488897241098,,
970,2.15117,970,6.90016e-7,0.08939171944162536,,
975,2.1489,975,6.90016e-7,0.08893330036756573,,
980,2.14668,980,6.90016e-7,0.08847955903915979,,
985,2.1445,985,6.90016e-7,0.08803042422170212,,
990,2.14238,990,6.90016e-7,0.08758582611957232,,
995,2.1403,995,7.0299e-7,0.08878425003204378,,
1000,2.13827,1000,0.00000144161,0.18115805541366328,,
1005,2.13628,1005,0.00000177695,0.22218718669836351,,
1010,2.13434,1010,0.00000179044,0.2227656693343885,,
1015,2.13243,1015,0.00000156353,0.1935753443021576,,
1020,2.13056,1020,0.00000117763,0.14508367673125286,,
1025,2.12874,1025,7.14177e-7,0.08755719869513356,,
1030,2.12694,1030,2.54602e-7,0.031062360108321113,,
1035,2.12519,1035,1.45928e-8,0.0017717732666784594,,
1040,2.12347,1040,1.45928e-8,0.0017632551259732744,,
1045,2.12178,1045,1.45928e-8,0.0017548184985762732,,
1050,2.12012,1050,1.45928e-8,0.0017464622200116242,,
1055,2.1185,1055,1.45928e-8,0.0017381851478788677,,
1060,2.1169,1060,1.45928e-8,0.0017299861613322691,,
1065,2.11534,1065,1.45928e-8,0.0017218641605748408,,
1070,2.1138,1070,1.45928e-8,0.001713818066366547,,
1075,2.1123,1075,1.45928e-8,0.0017058468195462375,,
1080,2.11082,1080,3.54435e-8,0.004124038489537402,,
1085,2.10936,1085,1.07563e-7,0.012457848132648072,,
1090,2.10794,1090,1.50731e-7,0.017377445954797913,,
1095,2.10653,1095,1.69367e-7,0.01943678987983717,,
1100,2.10516,1100,1.67891e-7,0.01917982298923069,,
1105,2.1038,1105,1.50723e-7,0.0171406432407969,,
1110,2.10247,1110,1.22282e-7,0.013843611995180798,,
1115,2.10116,1115,8.69899e-8,0.009804011866421911,,
1120,2.09988,1120,4.92653e-8,0.005527553734174902,,
1125,2.09861,1125,1.35285e-8,0.0015111479542787383,,
1130,2.09737,1130,7.80373e-10,0.00008678279942866648,,
1135,2.09615,1135,7.80373e-10,0.00008640049634748292,,
1140,2.09494,1140,7.80373e-10,0.00008602154680209923,,
1145,2.09376,1145,7.80373e-10,0.00008564590685973199,,
