"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
206.6,1.11,206.6,2.28,1386801.7909360558,"E. Palik, 'Handbook of Optical Constants of Solids, Vol I', <i>Academic Press</i>, pp.577–580, (1985)","E. Palik, 'Handbook of Optical Constants of Solids, Vol I', <i>Academic Press</i>, pp.577–580, (1985)",-
225.4,1.35,225.4,2.51,1399360.7028412386,,,
248,1.69,248,2.76,1398515.4393399723,,,
258.3,1.86,258.3,2.85,1386533.3430477602,,,
269.5,2.07,269.5,2.93,1366213.9480546338,,,
281.8,2.3,281.8,2.99,1333337.4072723181,,,
295.2,2.56,295.2,3.04,1294097.786844576,,,
310,2.87,310,3.06,1240422.3896754538,,,
326.3,3.21,326.3,3,1155351.2670265867,,,
344.4,3.55,344.4,2.88,1050846.3231519868,,,
354.3,3.73,354.3,2.79,989561.7841959383,,,
364.7,3.9,364.7,2.66,916549.1043102661,,,
387.5,4.17,387.5,2.38,771818.3757980601,,,
413.3,4.38,413.3,2.02,614180.2235907459,,,
442.8,4.47,442.8,1.64,465421.1338651545,,,
476.9,4.49,476.9,1.28,337281.49268986675,,,
496,4.47,496,1.12,283756.7558081104,,,
516.6,4.46,516.6,0.969,235710.66831811922,,,
563.6,4.36,563.6,0.69,153846.62391603668,,,
619.9,4.23,619.9,0.461,93452.11894208065,,,
652.6,4.17,652.6,0.363,69898.75165510848,,,
688.8,4.09,688.8,0.281,51265.24597321324,,,
729.3,4.01,729.3,0.199,34289.15058628104,,,
774.9,3.93,774.9,0.136,22054.799374794784,,,
826.6,3.86,826.6,0.0812,12344.414394942713,,,
885.6,3.77,885.6,0.0401,5690.057154875823,,,
