"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,2.320465903,300,0.418647591,175362.69284382192," E. Raoult,  R. Bodeux,  S. Jutteau,  S. Rives,  A. Yaiche,  D. Coutancier,  J. Rousset and  S. Collin, 'Optical characterizations and modelling of semitransparent perovskite solar cells for tandem applications', <i>in 36th EU PVSEC</i>, pp.757-763, (2019)",-
305,2.311866613,305,0.376143606,154975.73630221296,,
310,2.301356243,310,0.339706334,137705.6675190091,,
315,2.289877018,315,0.308412189,123035.6148876123,,
320,2.278041887,320,0.281442711,110522.29416049941,,
325,2.266240182,325,0.258097657,99795.40961722317,,
330,2.254712959,330,0.237791911,90550.9479612943,,
335,2.243602367,335,0.220040634,82540.6614048526,,
340,2.232987685,340,0.204443114,75561.9982375789,,
345,2.222904504,345,0.190669542,69449.97477223542,,
350,2.213361511,350,0.17844764,64069.6908427927,,
355,2.204352235,355,0.167552475,59310.60558318733,,
360,2.195858801,360,0.157797454,55081.70247128593,,
365,2.187857022,365,0.149026142,51307.33511233198,,
370,2.18032146,370,0.141107697,47924.63829839724,,
375,2.173223114,375,0.13393262,44881.25174059023,,
380,2.166534204,380,0.127407818,42132.996319863734,,
385,2.160228324,385,0.121454762,39642.74161482563,,
390,2.154279285,390,0.116005919,37378.8044003418,,
395,2.148662495,395,0.111003542,35314.218943761625,,
400,2.143355172,400,0.10639788,33425.87981655284,,
405,2.138335504,405,0.102146372,31694.053517634584,,
410,2.133583334,410,0.098211643,30101.55864836911,,
415,2.129081445,415,0.094561131,28633.49922551731,,
420,2.124811648,420,0.091167054,27277.118771030855,,
425,2.120758569,425,0.088004225,26021.028399516545,,
430,2.116907988,430,0.085050676,24855.30966552984,,
435,2.113246345,435,0.082287814,23771.475121136857,,
440,2.109761607,440,0.079698044,22761.708139625098,,
445,2.106441618,445,0.077265992,21819.1705923171,,
450,2.10327716,450,0.074978658,20937.991213228586,,
455,2.100257638,455,0.072823448,20112.668944692603,,
460,2.097374272,460,0.070789988,19338.54836943562,,
465,2.094618843,465,0.068869057,18611.485895127462,,
470,2.091983383,470,0.067050877,17927.36532765556,,
475,2.089461672,475,0.065327852,17282.82104572643,,
480,2.087046116,480,0.063693389,16674.890247053077,,
485,2.084730936,485,0.062141082,16100.780758541932,,
490,2.082510911,490,0.060664337,15557.766159517996,,
495,2.080380261,495,0.059257967,15043.587377282134,,
500,2.078334173,500,0.057917971,14556.373776354136,,
505,2.076368272,505,0.056639538,14094.127246219401,,
510,2.074478527,510,0.055417886,13654.935179221698,,
515,2.072659969,515,0.054250014,13237.393820547062,,
520,2.070909786,520,0.053132518,12840.056016579036,,
525,2.069224385,525,0.052062208,12461.580966282954,,
530,2.067600358,530,0.051036274,12100.768563395906,,
535,2.066034518,535,0.050051526,11756.374308976337,,
540,2.064524053,540,0.049105967,11427.477420342431,,
545,2.063066181,545,0.048197594,11113.18952154888,,
550,2.061659091,550,0.047324003,10812.562920964463,,
555,2.060299782,555,0.046483005,10524.732758542532,,
560,2.058986066,560,0.045673195,10249.040991283862,,
565,2.057716132,565,0.044892572,9984.72031121776,,
570,2.056487384,570,0.044139542,9731.120061755657,,
575,2.055298637,575,0.043413106,9487.742252460172,,
580,2.054148265,580,0.042711858,9254.0178837221,,
585,2.053033486,585,0.042034204,9029.357024676561,,
590,2.051953707,590,0.041379143,8813.316044789255,,
